video_id,title,publishedAt,channelId,channelTitle,categoryId,description,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"U0_tqUkmsYA","カップヌードルCM「HUNGRY DAYS ワンピース ナミ 篇」30秒","2019-09-13T02:01:34.000Z","UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループ公式チャンネル","24","2019年。カップヌードルは、すべての青春を応援する。その青さが、熱量が、いつだって時代を前に進めてきたから。第2弾はワンピース ナミの青春。もしも、ナミが、現代で、高校生活を送っていたら？そんな「もしも」を描く、ワンピースのパラレル・ワールド。青くて、アツい、冒険の夜明けがやってくる。HUNGRY DAYS　アオハルかよ。#ONEPIECE #窪之内英策 #BUMPOFCHICKEN #バンプ #アオハルかよ #HUNGRYDAYS","19.13.09","カップヌードル|CM|ONEPIECE|窪之内英策|BUMPOFCHICKEN|ナミ|ルフィ|HUNGRYDAYS|アオハル","754549","0","0","0","https://i.ytimg.com/vi/U0_tqUkmsYA/default.jpg","True","True","2019年。カップヌードルは、すべての青春を応援する。その青さが、熱量が、いつだって時代を前に進めてきたから。第2弾はワンピース ナミの青春。もしも、ナミが、現代で、高校生活を送っていたら？そんな「もしも」を描く、ワンピースのパラレル・ワールド。青くて、アツい、冒険の夜明けがやってくる。HUNGRY DAYS　アオハルかよ。#ONEPIECE #窪之内英策 #BUMPOFCHICKEN #バンプ #アオハルかよ #HUNGRYDAYS"
"bELmGnW7sEI","(実話)「私はあなたに56された」前世の記憶を持つ3歳の少年が、自分を56した犯人を捕まえた実話を漫画にしてみた(マンガで分かる)","2019-09-12T07:20:29.000Z","UC-kF1uMFhIfvw6seHqDGwkg","アシタノワダイ","24","引用https://news.livedoor.com/article/detail/10371390/twitter・インスタみーたんhttps://twitter.com/hattaemilyhttps://www.instagram.com/hattaemily/アシタノワダイhttps://twitter.com/ashiwadaiちなっちゃんhttps://twitter.com/chinatchan_杏https://twitter.com/an_ashiwada18号https://twitter.com/_18go佐藤ハル(CV.まい)https://twitter.com/sugar_ashiwada引用：https://www.pakutaso.comhttps://www.irasutoya.com音楽引用（フリー音源）：魔王魂 http://maoudamashii.jokersounds.com/DOVA-SYNDROME　　https://dova-s.jpアシタノワダイjustoyakudachi@gmail.com","19.13.09","アシタノワダイ|漫画|マンガ","1593359","19253","717","3211","https://i.ytimg.com/vi/bELmGnW7sEI/default.jpg","False","False","引用https://news.livedoor.com/article/detail/10371390/twitter・インスタみーたんhttps://twitter.com/hattaemilyhttps://www.instagram.com/hattaemily/アシタノワダイhttps://twitter.com/ashiwadaiちなっちゃんhttps://twitter.com/chinatchan_杏https://twitter.com/an_ashiwada18号https://twitter.com/_18go佐藤ハル(CV.まい)https://twitter.com/sugar_ashiwada引用：https://www.pakutaso.comhttps://www.irasutoya.com音楽引用（フリー音源）：魔王魂 http://maoudamashii.jokersounds.com/DOVA-SYNDROME　　https://dova-s.jpアシタノワダイjustoyakudachi@gmail.com"
"nRYCLOTRAK4","IZ*ONE (아이즈원) - 'Vampire' MV","2019-09-13T01:00:05.000Z","UCe_oTYByLWQYCUmgmOMU_xw","official IZ*ONE","24","2019年 9月 25日 発売 IZ*ONE 日本3rdシングル「Vampire」MV2019년 9월 25일 발매 IZ*ONE 일본 3rd싱글「Vampire」MVOn sale September 25, 2019 IZ*ONE Japan 3rd Single「Vampire」MV「Vampire」主要サイトで先行配信中！주요 사이트에서 선행 배신중!Streaming available on main websites!https://emi-records-japan.lnk.to/VampireDLIZ*ONE JAPAN Official Site : https://www.izone-official.com/IZ*ONE Official Twitter : https://twitter.com/official_izoneIZ*ONE Official Facebook : https://www.facebook.com/official.izoneIZ*ONE Official Instagram : https://www.instagram.com/official_izoneIZ*ONE Official fancafe : http://cafe.daum.net/official-izone","19.13.09","IZ*ONE|IZ ONE|아이즈원|アイズワン|PRODUCE48|프로듀스48|プロデュース フォーティーエイト|장원영|JANG WON YOUNG|미야와키 사쿠라|MIYAWAKI SAKURA|宮脇 咲良|조유리|JO YU RI|최예나|CHOI YE NA|안유진|AN YU JIN|야부키 나코|YABUKI NAKO|矢吹 奈子|권은비|KWON EUN BI|강혜원|KANG HYE WON|혼다 히토미|HONDA HITOMI|本田 仁美|김채원|KIM CHAE WON|김민주|KIM MIN JU|이채연|LEE CHAE YEON|Vampire|MV","2280684","201254","10467","27098","https://i.ytimg.com/vi/nRYCLOTRAK4/default.jpg","False","False","2019年 9月 25日 発売 IZ*ONE 日本3rdシングル「Vampire」MV2019년 9월 25일 발매 IZ*ONE 일본 3rd싱글「Vampire」MVOn sale September 25, 2019 IZ*ONE Japan 3rd Single「Vampire」MV「Vampire」主要サイトで先行配信中！주요 사이트에서 선행 배신중!Streaming available on main websites!https://emi-records-japan.lnk.to/VampireDLIZ*ONE JAPAN Official Site : https://www.izone-official.com/IZ*ONE Official Twitter : https://twitter.com/official_izoneIZ*ONE Official Facebook : https://www.facebook.com/official.izoneIZ*ONE Official Instagram : https://www.instagram.com/official_izoneIZ*ONE Official fancafe : http://cafe.daum.net/official-izone"
"cauCnIuYK4c","TWICE Feel Special TEASER JIHYO","2019-09-12T15:00:01.000Z","UCaO6TYtlC8U5ttz62hTrZgg","jypentertainment","10","TWICE Feel Special TEASER JIHYOTWICE THE 8TH MINI ALBUM Feel Special 2019.09.23 MON 6PM(KST)#TWICE #트와이스 #FeelSpecialTWICE Official YouTube: http://www.youtube.com/c/TWICEonAirTWICE Official Facebook: http://www.facebook.com/JYPETWICETWICE Official Twitter: http://www.twitter.com/JYPETWICETWICE Official Instagram: http://www.instagram.com/TWICETAGRAMTWICE Official Homepage: http://TWICE.jype.comTWICE Official Fan's: http://fans.jype.com/TWICEⓒ 2019 JYP Entertainment. All Rights Reserved","19.13.09","TWICE|트와이스|Feel Special|FeelSpecial|필스페셜|필 스페셜|TWICE Feel Special|TWICE FeelSpecial|트와이스 필스페셜|트와이스 필 스페셜|TWICE 필스페셜|TWICE Feel Special Teaser|TWICE Feel Special 티저|트와이스 필 스페셜 티저|트와이스 필스페셜티저|feel special teaser|필스페셜 티저|TWICE Feel Special teaser jihyo|TWICE Feel Special 티저 지효|트와이스 필스페셜 티저 지효|TWICE jihyo|twice jihyo teaser|twice jihyo feel special teaser|트와이스 지효 필 스페셜 티저|트와이스 지효 feel special teaser|지효|jihyo","1659606","231278","2849","11860","https://i.ytimg.com/vi/cauCnIuYK4c/default.jpg","False","False","TWICE Feel Special TEASER JIHYOTWICE THE 8TH MINI ALBUM Feel Special 2019.09.23 MON 6PM(KST)#TWICE #트와이스 #FeelSpecialTWICE Official YouTube: http://www.youtube.com/c/TWICEonAirTWICE Official Facebook: http://www.facebook.com/JYPETWICETWICE Official Twitter: http://www.twitter.com/JYPETWICETWICE Official Instagram: http://www.instagram.com/TWICETAGRAMTWICE Official Homepage: http://TWICE.jype.comTWICE Official Fan's: http://fans.jype.com/TWICEⓒ 2019 JYP Entertainment. All Rights Reserved"
"4rKq2kiRvzE","愛方のまあたそを可愛いと思うたびに貯金していく動画","2019-09-12T10:30:13.000Z","UCuA3GbcPjRPesHaeRIvfIIQ","よきき","10","↓企画本家様 : 北の打ち師達（許可いただきました）https://www.youtube.com/watch?v=miJduqgNptY↓愛棒（ちょっとこの漢字だと意味変わるな）(許可とってない）https://www.youtube.com/channel/UCxlsYyeri8MOpap3w3JbWSQ↓是非チャンネル登録宜しくお願いします！https://goo.gl/6BYhcn★おすすめの動画★【初Vlog?】ハイサイ！まあたそとお忍び旅行♡ in沖縄！！【ブス極】https://youtu.be/H5gnI668wlk【伝説】絶対に笑ってはいけない「まあたそとデート」https://youtu.be/XSkjyNgrJ30【Twitter】 https://twitter.com/y_cute_【instagram】https://www.instagram.com/yst_cute/【ゲームチャンネルはこちら】https://www.youtube.com/channel/UCcamd33faQQvl9YlGoyqmVQお仕事やコラボなどの連絡はyst.cute@gmail.comにメールでご連絡ください。▼オリジナル香水の購入はこちらhttps://goo.gl/X1LQPV【ファンレター等の送り先はこちら】〒150-0002東京都渋谷区渋谷2-17-5シオノギ渋谷ビル 6F株式会社BitStarよきき宛て【BGM・効果音をお借りしてるサイト】ニコニ・コモンズ魔王魂DOVA-SYNDRME煉獄庭園","19.13.09","よきき|よききチャンネル|まあたそ|ブス極|ブサイク|メイク|化粧|整形|北打ち|貯金|可愛い","542771","13401","708","931","https://i.ytimg.com/vi/4rKq2kiRvzE/default.jpg","False","False","↓企画本家様 : 北の打ち師達（許可いただきました）https://www.youtube.com/watch?v=miJduqgNptY↓愛棒（ちょっとこの漢字だと意味変わるな）(許可とってない）https://www.youtube.com/channel/UCxlsYyeri8MOpap3w3JbWSQ↓是非チャンネル登録宜しくお願いします！https://goo.gl/6BYhcn★おすすめの動画★【初Vlog?】ハイサイ！まあたそとお忍び旅行♡ in沖縄！！【ブス極】https://youtu.be/H5gnI668wlk【伝説】絶対に笑ってはいけない「まあたそとデート」https://youtu.be/XSkjyNgrJ30【Twitter】 https://twitter.com/y_cute_【instagram】https://www.instagram.com/yst_cute/【ゲームチャンネルはこちら】https://www.youtube.com/channel/UCcamd33faQQvl9YlGoyqmVQお仕事やコラボなどの連絡はyst.cute@gmail.comにメールでご連絡ください。▼オリジナル香水の購入はこちらhttps://goo.gl/X1LQPV【ファンレター等の送り先はこちら】〒150-0002東京都渋谷区渋谷2-17-5シオノギ渋谷ビル 6F株式会社BitStarよきき宛て【BGM・効果音をお借りしてるサイト】ニコニ・コモンズ魔王魂DOVA-SYNDRME煉獄庭園"
"vl0puIt8GkA","お肉を一切使わずに｢肉料理｣対決！","2019-09-12T10:00:11.000Z","UCutJqz56653xV2wwSvut_hQ","東海オンエア","23","この動画は「ZEROMEAT」とのタイアップです。今話題のソイミート食品、お肉不使用の「ZEROMEAT（ゼロミート）」ブランドと、東海オンエアがタイアップ！！肉じゃないのに、そこそこ美味い！ZEROMEATと、そこそこなスペシャル動画をつくっちゃいました～！Twitterでは、「ゼロミート×東海オンエア コラボグッズプレゼントキャンペーン」を実施中♪「ZEROMEAT」のTwitter公式アカウントをフォローして、対象の投稿をツイートするだけで、応募完了♪ここでしかもらえないオリジナルグッズを、是非Getしてね☆【ゼロミートのTwitter公式アカウントは、こちら♪】@ZEROMEAT_jp（ https://twitter.com/ZEROMEAT_jp ）【キャンペーン対象の投稿は、こちら♪】https://twitter.com/ZEROMEAT_jp/status/1172087457879216134【Twitterプレゼントキャンペーンの応募については、こちら♪】https://zeromeat.jp/1909campaign_kiyaku.pdf【ZEROMEAT公式サイトもチェック♪】https://zeromeat.jp/人間の力は恐ろしいものです。この世界から生み出されたものである人間は、いつしか｢生みだすもの｣となっているのですから。｢人工〜｣という言葉、最近よく聞きますよね。人間はもはやこの世界の理を超え、自らの欲するものを自分で生み出すようになりました。たとえば｢人工芝｣。これはまだクオリティが低く、神の御業の真似事に過ぎません。しかし｢人工イクラ｣。これはもう僕のようなクソ舌の持ち主にとっては本物と全く同じです。なんなら食べ慣れている分、｢人工イクラ｣のほうがおいしいと感じるやもしれません。そして｢人工知能｣。ついに人間は自分たちすらを凌駕しうる存在を作りあげてしまいました。皆さんも将棋やチェスで世界チャンピオンを破る人工知能の話を聞いたことがあるでしょうし、Siriに小馬鹿にされてイラッとしたことがあるでしょう。次に人間は｢人工人間｣を作り、｢人工人間｣はいつか｢人工人間工人間｣を作り、｢人工人間工人間｣は｢人工人間工人間工人間｣を作ることでしょう。この世から｢天然｣という言葉は消え去り、頂点のいないヒエラルキーが未完成のままグズグズと揺れ動くのでしょう。やべぇ。壮大にしすぎた。終わり方わからん。とりあえず人工毛だけは最速で研究しよ？(編集：虫眼鏡)どうも、東海オンエアです。ぜひチャンネル登録お願いします！サブチャンネル【東海オンエアの控え室】もぜひチャンネル登録してね！！！https://www.youtube.com/channel/UCynIYcsBwTrwBIecconPN2Aグッズ購入はこちらから！！https://goo.gl/YtauZW有料メンバーシップの登録はこちらから！https://www.youtube.com/channel/UCutJqz56653xV2wwSvut_hQ/joinお仕事の依頼はこちらからhttps://www.uuum.co.jp/inquiry_promotionファンレターはこちらへ〒106-6137 東京都港区六本木 6-10-1 六本木ヒルズ森タワー 37階UUUM株式会社　東海オンエア宛【Twitterアカウント】てつや→https://twitter.com/TO_TETSUYAとしみつ→https://twitter.com/TO_TOSHIMITSUしばゆー→https://twitter.com/TOKAI_ONAIRりょう→https://twitter.com/TO_RYOOゆめまる→https://twitter.com/TO_yumemarucas虫眼鏡→https://twitter.com/TO_ZAWAKUN","19.13.09","[none]","1520671","27375","932","3293","https://i.ytimg.com/vi/vl0puIt8GkA/default.jpg","False","False","この動画は「ZEROMEAT」とのタイアップです。今話題のソイミート食品、お肉不使用の「ZEROMEAT（ゼロミート）」ブランドと、東海オンエアがタイアップ！！肉じゃないのに、そこそこ美味い！ZEROMEATと、そこそこなスペシャル動画をつくっちゃいました～！Twitterでは、「ゼロミート×東海オンエア コラボグッズプレゼントキャンペーン」を実施中♪「ZEROMEAT」のTwitter公式アカウントをフォローして、対象の投稿をツイートするだけで、応募完了♪ここでしかもらえないオリジナルグッズを、是非Getしてね☆【ゼロミートのTwitter公式アカウントは、こちら♪】@ZEROMEAT_jp（ https://twitter.com/ZEROMEAT_jp ）【キャンペーン対象の投稿は、こちら♪】https://twitter.com/ZEROMEAT_jp/status/1172087457879216134【Twitterプレゼントキャンペーンの応募については、こちら♪】https://zeromeat.jp/1909campaign_kiyaku.pdf【ZEROMEAT公式サイトもチェック♪】https://zeromeat.jp/人間の力は恐ろしいものです。この世界から生み出されたものである人間は、いつしか｢生みだすもの｣となっているのですから。｢人工〜｣という言葉、最近よく聞きますよね。人間はもはやこの世界の理を超え、自らの欲するものを自分で生み出すようになりました。たとえば｢人工芝｣。これはまだクオリティが低く、神の御業の真似事に過ぎません。しかし｢人工イクラ｣。これはもう僕のようなクソ舌の持ち主にとっては本物と全く同じです。なんなら食べ慣れている分、｢人工イクラ｣のほうがおいしいと感じるやもしれません。そして｢人工知能｣。ついに人間は自分たちすらを凌駕しうる存在を作りあげてしまいました。皆さんも将棋やチェスで世界チャンピオンを破る人工知能の話を聞いたことがあるでしょうし、Siriに小馬鹿にされてイラッとしたことがあるでしょう。次に人間は｢人工人間｣を作り、｢人工人間｣はいつか｢人工人間工人間｣を作り、｢人工人間工人間｣は｢人工人間工人間工人間｣を作ることでしょう。この世から｢天然｣という言葉は消え去り、頂点のいないヒエラルキーが未完成のままグズグズと揺れ動くのでしょう。やべぇ。壮大にしすぎた。終わり方わからん。とりあえず人工毛だけは最速で研究しよ？(編集：虫眼鏡)どうも、東海オンエアです。ぜひチャンネル登録お願いします！サブチャンネル【東海オンエアの控え室】もぜひチャンネル登録してね！！！https://www.youtube.com/channel/UCynIYcsBwTrwBIecconPN2Aグッズ購入はこちらから！！https://goo.gl/YtauZW有料メンバーシップの登録はこちらから！https://www.youtube.com/channel/UCutJqz56653xV2wwSvut_hQ/joinお仕事の依頼はこちらからhttps://www.uuum.co.jp/inquiry_promotionファンレターはこちらへ〒106-6137 東京都港区六本木 6-10-1 六本木ヒルズ森タワー 37階UUUM株式会社　東海オンエア宛【Twitterアカウント】てつや→https://twitter.com/TO_TETSUYAとしみつ→https://twitter.com/TO_TOSHIMITSUしばゆー→https://twitter.com/TOKAI_ONAIRりょう→https://twitter.com/TO_RYOOゆめまる→https://twitter.com/TO_yumemarucas虫眼鏡→https://twitter.com/TO_ZAWAKUN"
"rQsAbSKSzgM","漁師さんからタダで頂いた『新鮮な大きなカジキ』実は〇〇で食べるとうまいんです！","2019-09-12T11:48:21.000Z","UCaak9sggUeIBPOd8iK_BXcQ","きまぐれクックKimagure Cook","24","いつも漁師さんありがとうございます＾＾Dear Oversea Viewers,  Thank you for watching my video everytime.  I would like you to know more about our Japanese seafood. Because Japan is a country surrounded by the seas, various seafood gather here.We will continue to add English subtitles from past videos time to time. It might take a while to complete all videos but please wait.   Again, thank for watching my Video and I really appriciate you!(海外視聴者の皆様、いつも動画見てくれてありがとうございます！日本のシーフードの魅力をもっともっと知ってほしい。日本は海に囲まれた国。いろんなシーフードが集まります。 英語字幕を随時過去の動画からつけています。 少しペースは遅いですが、待っててください。  いつもありがとう！感謝します。)☆セカンドチャンネル⇒https://www.youtube.com/channel/UCEAvwlv0ZtJrSsgaA2CewOw☆lineスタンプ⇒https://store.line.me/stickershop/product/4908608☆ファンサイトhttps://fanicon.net/fancommunities/51☆Twitter⇒https://twitter.com/Kneko__☆インスタグラム⇒https://www.instagram.com/kimagure.cook/?hl=ja☆オリジナルグッズ⇒https://kiii.theshop.jp/☆プレゼント、お手紙などの宛先はこちら(※生物、冷蔵便は受け取りができません)153-0042東京都目黒区青葉台3-6-28住友不動産青葉台タワー2F「きまぐれクック」宛☆お仕事の依頼等⇒kimagure_cook@kiii.co.jp ☆https://www.youtube.com/channel/UCwJ0csCsSiievLHk3K0_IVwこちらの『にしやんFishingClub』でも【かねこ】として出演しております！­­コチラもよろしくお願いします！☆音源：http://dova-s.jp/","19.13.09","捌き方|料理|釣り|かねこ|さばき|魚|さかな|きまぐれクック|にしやん|トミック|SASHIMI|刺身|塩焼き|煮つけ|fishing","818907","10562","452","1959","https://i.ytimg.com/vi/rQsAbSKSzgM/default.jpg","False","False","いつも漁師さんありがとうございます＾＾Dear Oversea Viewers,  Thank you for watching my video everytime.  I would like you to know more about our Japanese seafood. Because Japan is a country surrounded by the seas, various seafood gather here.We will continue to add English subtitles from past videos time to time. It might take a while to complete all videos but please wait.   Again, thank for watching my Video and I really appriciate you!(海外視聴者の皆様、いつも動画見てくれてありがとうございます！日本のシーフードの魅力をもっともっと知ってほしい。日本は海に囲まれた国。いろんなシーフードが集まります。 英語字幕を随時過去の動画からつけています。 少しペースは遅いですが、待っててください。  いつもありがとう！感謝します。)☆セカンドチャンネル⇒https://www.youtube.com/channel/UCEAvwlv0ZtJrSsgaA2CewOw☆lineスタンプ⇒https://store.line.me/stickershop/product/4908608☆ファンサイトhttps://fanicon.net/fancommunities/51☆Twitter⇒https://twitter.com/Kneko__☆インスタグラム⇒https://www.instagram.com/kimagure.cook/?hl=ja☆オリジナルグッズ⇒https://kiii.theshop.jp/☆プレゼント、お手紙などの宛先はこちら(※生物、冷蔵便は受け取りができません)153-0042東京都目黒区青葉台3-6-28住友不動産青葉台タワー2F「きまぐれクック」宛☆お仕事の依頼等⇒kimagure_cook@kiii.co.jp ☆https://www.youtube.com/channel/UCwJ0csCsSiievLHk3K0_IVwこちらの『にしやんFishingClub』でも【かねこ】として出演しております！­­コチラもよろしくお願いします！☆音源：http://dova-s.jp/"
"pLmTZg8ptWw","現実に起きたガンツGANTZとしか思えない出来事について","2019-09-12T11:00:05.000Z","UCZ6AXSKWO2AIi5RkSRlPP2A","キリン【考察系youtuber】","24","★キリンのサブチャンネル→https://bit.ly/2T2vs0k★キリンのツイッター→https://goo.gl/bEXLV6☆お手紙、プレゼント(生もの✕冷凍もの✕)→ 東京都渋谷区渋谷2-17-5 シオノギ渋谷ビル 6F 株式会社Bitstar 事業部/キリン【考察系youtuber】宛て※お仕事のご依頼はこちらまでお願いいたします。　　　　　　→kirinkousatukei@gmail.com※キャラクターデザイン→フォレス(庵都堂計劃)さん(@lostnian)※LIVE2Dモデリング→泥泥子さん(＠nazumi_doroko)※BGM魔王魂→https://maoudamashii.jokersounds.com/DOVA-SYNDROME→https://dova-s.jp/甘茶の音楽工房→http://amachamusic.chagasi.com/GT-Kさん→https://www.youtube.com/user/gtkmusicroom/videos※効果音効果音ラボ→https://soundeffect-lab.info/ポケットサウンド　https://pocket-se.info/びたちー素材館http://www.vita-chi.net/sozai1.htm","19.13.09","映画|アニメ|まんが|漫画|ジャンプ|電車|列車|不思議|怖い話|謎|ミステリー|日本|真相|キリン|考察系|キリン【考察系youtuber】|きりん","347733","7070","318","1376","https://i.ytimg.com/vi/pLmTZg8ptWw/default.jpg","False","False","★キリンのサブチャンネル→https://bit.ly/2T2vs0k★キリンのツイッター→https://goo.gl/bEXLV6☆お手紙、プレゼント(生もの✕冷凍もの✕)→ 東京都渋谷区渋谷2-17-5 シオノギ渋谷ビル 6F 株式会社Bitstar 事業部/キリン【考察系youtuber】宛て※お仕事のご依頼はこちらまでお願いいたします。　　　　　　→kirinkousatukei@gmail.com※キャラクターデザイン→フォレス(庵都堂計劃)さん(@lostnian)※LIVE2Dモデリング→泥泥子さん(＠nazumi_doroko)※BGM魔王魂→https://maoudamashii.jokersounds.com/DOVA-SYNDROME→https://dova-s.jp/甘茶の音楽工房→http://amachamusic.chagasi.com/GT-Kさん→https://www.youtube.com/user/gtkmusicroom/videos※効果音効果音ラボ→https://soundeffect-lab.info/ポケットサウンド　https://pocket-se.info/びたちー素材館http://www.vita-chi.net/sozai1.htm"
"O72Ea2Zdl1c","【大流行？】コーラマウスガードチャレンジの最速記録が速すぎて爆笑www","2019-09-12T10:30:17.000Z","UCibEhpu5HP45-w7Bq1ZIulw","Fischer's-フィッシャーズ-","24","真似する場合は自己責任で！二代目のチャンネルもよろしく！☆Fischer's-セカンダリ-■https://goo.gl/QgBhjD☆チャンネル登録よろしくね！■https://goo.gl/lSy9St☆専用の絵文字や色々！チャンネルメンバーシップはこちら！■https://goo.gl/uJomwo☆Ｔシャツ、パーカーなどのフィッシャーズグッズ！■http://bit.ly/2pdgURz☆リーダー、シルクロードのツイッター■https://twitter.com/RytoSle2↓フィッシャーズ公式アカウントは下へ↓【Fischer's-フィッシャーズ-】出来そうで出来なさそう、くだらない事、好きなことをする…。中学三年の頃、「楽しい」を動画にすることから始まった古くて幼稚園、同い年の同級生７人からなるネットパフォーマー集団です。メンバーは7人[シルクロード] [ンダホ] [ダーマ] [ザカオ] [ぺけたん] [モトキ] [マサイ] ―ウェブサイト・メンバー紹介■http://fischers.web.fc2.com/【Twitter】■https://twitter.com/FischersHome【Facebook】■https://www.facebook.com/FischersHome【Instagram】■https://www.instagram.com/fischershome【再生リスト】―すべて表示(西暦別もあります)■https://goo.gl/fB9HYY―アップロード順■https://goo.gl/TuFZ4W―再生数順■https://goo.gl/pw3hyy【音源・効果音使用元】様―DOVA-SYNDROME■http://dova-s.jp/―効果音ラボ■http://soundeffect-lab.info/―甘茶の音楽工房■http://amachamusic.chagasi.com/―魔王魂■http://maoudamashii.jokersounds.com/―Epidemic Sound■ http://www.epidemicsound.com【一部の動画・静止画素材提供元】 PIXTA※動画によって使用していない場合がございます。【お問い合わせ先について】※1 業界の皆様・ご依頼の方々・その他ご相談がある方は、UUUMウェブサイトにある「サービス」からお願い致します。※2 YouTubeメッセージ機能は、フィッシャーズでは利用していません。ご理解いただけると幸いです。【サービスに関するお問い合わせ（UUUM）】http://www.uuum.co.jp/#Fischers #フィッシャーズ","19.13.09","Fischer's|フィッシャーズ|野生児|MASAI.|無謀|自然|チャレンジ|シルクロード|マッチョ|マサイ|ぺけたん|ザカオ|ンダホ|ダーマ|モトキ|おもしろ|挑戦|SilkRoad|Dama|Peketan|Ndaho|Zakao|Motoki|Masai|シルクの部屋|毎日|動画|投稿|面白|面白動画|やってみた|ウケる|爆笑|大爆笑|コント|一発芸|ギャグ|ネタ|楽しい|お笑い|笑える|オススメ|商品紹介|YouTube|youtuber|Japan|japanese|Blog|Vlog|腹筋崩壊|抱腹絶倒|都市伝説|身体張る|スポーツ|講座|ビログ|ビデオブロガー|大学生|軍団|ウオタミ|UUUM|ウーム|コーラ|コカコーラ|Cola|coke|新記録|記録|早飲み|更新|challenge|マウスガード|大流行|歯","1293007","22670","1946","2502","https://i.ytimg.com/vi/O72Ea2Zdl1c/default.jpg","False","False","真似する場合は自己責任で！二代目のチャンネルもよろしく！☆Fischer's-セカンダリ-■https://goo.gl/QgBhjD☆チャンネル登録よろしくね！■https://goo.gl/lSy9St☆専用の絵文字や色々！チャンネルメンバーシップはこちら！■https://goo.gl/uJomwo☆Ｔシャツ、パーカーなどのフィッシャーズグッズ！■http://bit.ly/2pdgURz☆リーダー、シルクロードのツイッター■https://twitter.com/RytoSle2↓フィッシャーズ公式アカウントは下へ↓【Fischer's-フィッシャーズ-】出来そうで出来なさそう、くだらない事、好きなことをする…。中学三年の頃、「楽しい」を動画にすることから始まった古くて幼稚園、同い年の同級生７人からなるネットパフォーマー集団です。メンバーは7人[シルクロード] [ンダホ] [ダーマ] [ザカオ] [ぺけたん] [モトキ] [マサイ] ―ウェブサイト・メンバー紹介■http://fischers.web.fc2.com/【Twitter】■https://twitter.com/FischersHome【Facebook】■https://www.facebook.com/FischersHome【Instagram】■https://www.instagram.com/fischershome【再生リスト】―すべて表示(西暦別もあります)■https://goo.gl/fB9HYY―アップロード順■https://goo.gl/TuFZ4W―再生数順■https://goo.gl/pw3hyy【音源・効果音使用元】様―DOVA-SYNDROME■http://dova-s.jp/―効果音ラボ■http://soundeffect-lab.info/―甘茶の音楽工房■http://amachamusic.chagasi.com/―魔王魂■http://maoudamashii.jokersounds.com/―Epidemic Sound■ http://www.epidemicsound.com【一部の動画・静止画素材提供元】 PIXTA※動画によって使用していない場合がございます。【お問い合わせ先について】※1 業界の皆様・ご依頼の方々・その他ご相談がある方は、UUUMウェブサイトにある「サービス」からお願い致します。※2 YouTubeメッセージ機能は、フィッシャーズでは利用していません。ご理解いただけると幸いです。【サービスに関するお問い合わせ（UUUM）】http://www.uuum.co.jp/#Fischers #フィッシャーズ"
"vBdr9k5gz-4","超絶コミュ障「結婚したい人がいる」私「ドッキリか？」想像を絶する美人を連れてきた兄。→どう見ても釣り合わないカップルの秘話！・・・（スカッとする話）【マンガ動画】","2019-09-12T08:00:06.000Z","UCdAWRfP0jqMCwRhPWwf0XeQ","にゃんコミTV","24","猫と漫画で癒しをお届けʕº̫͡ºʔ⇛　https://www.youtube.com/channel/UCdAWRfP0jqMCwRhPWwf0XeQ?sub_confirmation=1〜あらすじ〜とんでもない美人を連れてきた兄。兄カップルの秘話とは・・・？漫画化エピソード＆猫ちゃん大募集〜！https://bit.ly/2ADeSxt（効果音・BGM引用）効果音ラボ https://soundeffect-lab.info/YouTubeオーディオOtoLogic(CC BY 4.0)  https://otologic.jp（画像・動画引用）https://pixabay.com/ja/videos/公式サイト　https://mangatv222.jimdofree.com/#にゃんコミTV#スカッとする話","19.13.09","にゃんコミTV|スカッとする話|漫画|マンガ動画|衝撃|アニメ|面白い|DQN|ヒューマンバグ|コミュ障|カップル","198725","1757","111","308","https://i.ytimg.com/vi/vBdr9k5gz-4/default.jpg","False","False","猫と漫画で癒しをお届けʕº̫͡ºʔ⇛　https://www.youtube.com/channel/UCdAWRfP0jqMCwRhPWwf0XeQ?sub_confirmation=1〜あらすじ〜とんでもない美人を連れてきた兄。兄カップルの秘話とは・・・？漫画化エピソード＆猫ちゃん大募集〜！https://bit.ly/2ADeSxt（効果音・BGM引用）効果音ラボ https://soundeffect-lab.info/YouTubeオーディオOtoLogic(CC BY 4.0)  https://otologic.jp（画像・動画引用）https://pixabay.com/ja/videos/公式サイト　https://mangatv222.jimdofree.com/#にゃんコミTV#スカッとする話"
