video_id,title,publishedAt,channelId,channelTitle,categoryId,description,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"kQMCHBZKUcs","총몇명 스토리 몰아보기 [추석특집]","2019-09-13T01:00:08.000Z","UCRuSxVu4iqTK5kCh90ntAgA","총몇명","1","추석특집으로 공포의 수능괴담부터 임상시험편까지 통합해서 모아봤습니다! 본 몰아보기 이후엔 '한 여름 밤의 괴담'편부터 관람하시면 됩니다.감사합니다!","19.13.09","총몇명|총몇명 스토리|나천재|민모리|박진숙|민들레","1809714","48974","1119","7912","https://i.ytimg.com/vi/kQMCHBZKUcs/default.jpg","False","False","추석특집으로 공포의 수능괴담부터 임상시험편까지 통합해서 모아봤습니다! 본 몰아보기 이후엔 '한 여름 밤의 괴담'편부터 관람하시면 됩니다.감사합니다!"
"JXC7rtAVOzM","[3회] ♬ 너나 해(Egotistic) - AOA @2차 경연ㅣ커버곡 대결 컴백전쟁 : 퀸덤 3화","2019-09-12T14:39:18.000Z","UCbD8EppRX3ZwJSou-TVo90A","Mnet K-POP","24","[3회] ♬ 너나 해(Egotistic) - AOA @2차 경연ㅣ커버곡 대결K-POP 여왕의 자리를 두고 펼쳐지는걸그룹 컴백 전쟁! Mnet ‘퀸덤(Queendom)’--------------------------------Mnet ‘퀸덤(Queendom)’매주 목요일 밤 9시 20분 본방사수-------------------------------------------------------------------------------------------------- ▶[Mnet] 구독 http://www.youtube.com/channel/UCepUWUpH45hRTi-QePdq1Bg?sub_confirmation=1 ▶[컴백전쟁 : 퀸덤] 지금 뜨는 동영상 : http://www.tving.com/smr/vod/player/P/C01_B120192549?from=youtube ▶[Mnet] 라이브 : http://www.tving.com/live/player/C00579------------------------------------------------------------------ #퀸덤#Queendom#AOA#지민#유나#혜정#설현#찬미","19.13.09","퀸덤|Queendom|AOA|지민|유나|혜정|설현|찬미","2326812","124883","2749","15526","https://i.ytimg.com/vi/JXC7rtAVOzM/default.jpg","False","False","[3회] ♬ 너나 해(Egotistic) - AOA @2차 경연ㅣ커버곡 대결K-POP 여왕의 자리를 두고 펼쳐지는걸그룹 컴백 전쟁! Mnet ‘퀸덤(Queendom)’--------------------------------Mnet ‘퀸덤(Queendom)’매주 목요일 밤 9시 20분 본방사수-------------------------------------------------------------------------------------------------- ▶[Mnet] 구독 http://www.youtube.com/channel/UCepUWUpH45hRTi-QePdq1Bg?sub_confirmation=1 ▶[컴백전쟁 : 퀸덤] 지금 뜨는 동영상 : http://www.tving.com/smr/vod/player/P/C01_B120192549?from=youtube ▶[Mnet] 라이브 : http://www.tving.com/live/player/C00579------------------------------------------------------------------ #퀸덤#Queendom#AOA#지민#유나#혜정#설현#찬미"
"zcTyENgnKz8","여자 얼굴은 못 본 채 패션만 보고 소개팅한 훈남들 (남자들에게 무조건 성공하는 여친룩) [룩개팅 EP.02]","2019-09-12T09:00:11.000Z","UCtDcEbupijR_gufF7PIEDGQ","ZAMSTER 잼스터","24","소개팅에서 남자들이 환장하는 패션은 바로 이 것?!※패션으로만※ 여친 고르면 벌어지는 일!!근데 왜 자꾸 겹쳐...?★★폭발적 인기에 한 번 더! 추가 빅이벤트★★룩개팅 2화 남자성인편제일 맘에 들었던 부분이몇분 몇초에 나왔는지 적어주세요ex) 5:50 패션고잨ㅋㅋㅋ사죄하세용ㅋㅋㅋㅋ추첨을 통해 총 3분께존예탱구리 볼캡 3종류 중 1개를 증정해드립니당커뮤에 사진 있음! 갖고 싶은 번호 쓰윽 박아주시면 최대한 맞춰드림!*참여방법: 가장 심쿵했던 시간+이메일⟶댓글달기*기    간: 9/12 ~ 9/19 (낮 12시까지)*발    표: 9월 19일 오후 5시 / [룩개팅] 커뮤니티 게시판에서 공개*상    품: 1회에서 인기대폭발했던 ‘볼캡’ (커뮤니티 게시판에 사진 참고하긩♥)♡구독과 좋아요는 필수♡ 잼스터 홈페이지 : https://zamster.co.krYOUTUBE : https://www.youtube.com/c/ZAMSTERTVNAVER TV : https://tv.naver.com/tvchosun.zamsterFACEBOOK : https://www.facebook.com/zamsterTV※출연자와 제작진을 비방하는 악플은 임의로 삭제하겠습니다#룩개팅 #소개팅 #20대코디","19.13.09","꿀잼|존잼|존웃|blind dating|소개팅|블라인드소개팅|데일리룩|패션|코디|OOTD|룩|소개팅성공|소개팅메이크업|소개팅패션|solfa소개팅|소개팅룩|소개팅앱|레전드패션|훈남|남자|여자|연애|사랑|남친룩|여친룩|데이트룩|데이트패션|10대코디|남자들이 미치는|여자들이 미치는|환장하는|여자패션|남자패션|패션피플|패피|센스|추천|스타일|사복패션|공항패션|장원영|아이즈원|슬기|청순패션|레드벨벳|red velvet|IZONE|청바지|힙함|액세서리|목걸이|반지|모자|안경|가방|연예인코디|코디추천|프롬비기닝|데일리먼데이|빈블|블랙업|여름코디|가을코디|신상|개강룩|취향저격|극호|불호|심쿵|로맨스|스타일링|꿀팁|스타일팁","803268","8826","446","1202","https://i.ytimg.com/vi/zcTyENgnKz8/default.jpg","False","False","소개팅에서 남자들이 환장하는 패션은 바로 이 것?!※패션으로만※ 여친 고르면 벌어지는 일!!근데 왜 자꾸 겹쳐...?★★폭발적 인기에 한 번 더! 추가 빅이벤트★★룩개팅 2화 남자성인편제일 맘에 들었던 부분이몇분 몇초에 나왔는지 적어주세요ex) 5:50 패션고잨ㅋㅋㅋ사죄하세용ㅋㅋㅋㅋ추첨을 통해 총 3분께존예탱구리 볼캡 3종류 중 1개를 증정해드립니당커뮤에 사진 있음! 갖고 싶은 번호 쓰윽 박아주시면 최대한 맞춰드림!*참여방법: 가장 심쿵했던 시간+이메일⟶댓글달기*기    간: 9/12 ~ 9/19 (낮 12시까지)*발    표: 9월 19일 오후 5시 / [룩개팅] 커뮤니티 게시판에서 공개*상    품: 1회에서 인기대폭발했던 ‘볼캡’ (커뮤니티 게시판에 사진 참고하긩♥)♡구독과 좋아요는 필수♡ 잼스터 홈페이지 : https://zamster.co.krYOUTUBE : https://www.youtube.com/c/ZAMSTERTVNAVER TV : https://tv.naver.com/tvchosun.zamsterFACEBOOK : https://www.facebook.com/zamsterTV※출연자와 제작진을 비방하는 악플은 임의로 삭제하겠습니다#룩개팅 #소개팅 #20대코디"
"doHCSygqadc","미용실 유형ㅋㅋㅋ","2019-09-12T22:30:50.000Z","UCJundLkbjldzL60kFfKm1vQ","급식왕","23","#급식왕 #유형 #미용실비즈니스 메일 E-MAIL(BUSINESS) : schoolfoodking@sandboxnetwork.net급식왕과 소통하실 분들은 인스타 https://www.instagram.com/schoolfoodking/틱톡 아이디 schoolfoodking  페이스북https://www.facebook.com/profile.php?id=100040932466628","19.13.09","#급식왕|#두더지|#발가락쌤|#징징이|#방울이|#학교|#웃긴영상|#공트|미용실|머리|깍는|미용|이발소|헤어|미용실유형|깍새","478853","7038","646","1554","https://i.ytimg.com/vi/doHCSygqadc/default.jpg","False","False","#급식왕 #유형 #미용실비즈니스 메일 E-MAIL(BUSINESS) : schoolfoodking@sandboxnetwork.net급식왕과 소통하실 분들은 인스타 https://www.instagram.com/schoolfoodking/틱톡 아이디 schoolfoodking  페이스북https://www.facebook.com/profile.php?id=100040932466628"
"Lbi3wJJdM_o","절친 사이에 끼어드는 애들 꼭 있음 [다만너] - EP.02","2019-09-12T10:00:15.000Z","UCid83oPnsL-4ZEo8CyQr6Rg","플레이리스트","24","절친 사이에 끼어드는 애들 꼭 있음심지어 내 비밀까지 떠벌린다면?09:20 여기서 끊다니 일주일 내내 궁금할 각😭절친 사이에 끼어드는 애들 꼭 있음 [다만너] - EP.02❤️플레이리스트 채널을 구독해주세요! 👉 https://goo.gl/df5FYf매주 수, 토 / 목, 일 저녁 7시에 업로드됩니다!구독, 댓글, 좋아요 잊지 말기👼❤️Instagram: https://www.instagram.com/playlist_studio❤️Facebook: http://www.facebook.com/PlayListKR❤️V Live : http://channels.vlive.tv/DEF407/video❤️Naver TV: http://tv.naver.com/playlist❤️Store: https://playliststore.com#다시만난너 #다만너 #친구","19.13.09","연플리|연애|드라마|웹드라마|연애플레이리스트|플레이리스트|플레이리스트스튜디오|다시만난너|다만너|고등학교|고등학생|학생|학교|고1|고2|고3|빅톤 수빈|정수빈|이진솔|에이프릴 진솔","635114","15332","257","2034","https://i.ytimg.com/vi/Lbi3wJJdM_o/default.jpg","False","False","절친 사이에 끼어드는 애들 꼭 있음심지어 내 비밀까지 떠벌린다면?09:20 여기서 끊다니 일주일 내내 궁금할 각😭절친 사이에 끼어드는 애들 꼭 있음 [다만너] - EP.02❤️플레이리스트 채널을 구독해주세요! 👉 https://goo.gl/df5FYf매주 수, 토 / 목, 일 저녁 7시에 업로드됩니다!구독, 댓글, 좋아요 잊지 말기👼❤️Instagram: https://www.instagram.com/playlist_studio❤️Facebook: http://www.facebook.com/PlayListKR❤️V Live : http://channels.vlive.tv/DEF407/video❤️Naver TV: http://tv.naver.com/playlist❤️Store: https://playliststore.com#다시만난너 #다만너 #친구"
"67gT7YQ09eA","TWICE Feel Special TEASER MOMO","2019-09-10T15:00:00.000Z","UCaO6TYtlC8U5ttz62hTrZgg","jypentertainment","10","TWICE Feel Special TEASER MOMOTWICE THE 8TH MINI ALBUM Feel Special 2019.09.23 MON 6PM(KST)#TWICE #트와이스 #FeelSpecialTWICE Official YouTube: http://www.youtube.com/c/TWICEonAirTWICE Official Facebook: http://www.facebook.com/JYPETWICETWICE Official Twitter: http://www.twitter.com/JYPETWICETWICE Official Instagram: http://www.instagram.com/TWICETAGRAMTWICE Official Homepage: http://TWICE.jype.comTWICE Official Fan's: http://fans.jype.com/TWICEⓒ 2019 JYP Entertainment. All Rights Reserved","19.13.09","TWICE|트와이스|Feel Special|FeelSpecial|필스페셜|필 스페셜|TWICE Feel Special|TWICE FeelSpecial|트와이스 필스페셜|트와이스 필 스페셜|TWICE 필스페셜|TWICE Feel Special Teaser|TWICE Feel Special 티저|트와이스 필 스페셜 티저|트와이스 필스페셜티저|feel special teaser|필스페셜 티저|TWICE Feel Special teaser momo|TWICE Feel Special 티저 모모|트와이스 필스페셜 티저 모모|TWICE momo|twice momo teaser|twice momo feel special teaser|트와이스 모모 필 스페셜 티저|트와이스 모모 feel special teaser|모모|momo","4647829","326314","6526","18698","https://i.ytimg.com/vi/67gT7YQ09eA/default.jpg","False","False","TWICE Feel Special TEASER MOMOTWICE THE 8TH MINI ALBUM Feel Special 2019.09.23 MON 6PM(KST)#TWICE #트와이스 #FeelSpecialTWICE Official YouTube: http://www.youtube.com/c/TWICEonAirTWICE Official Facebook: http://www.facebook.com/JYPETWICETWICE Official Twitter: http://www.twitter.com/JYPETWICETWICE Official Instagram: http://www.instagram.com/TWICETAGRAMTWICE Official Homepage: http://TWICE.jype.comTWICE Official Fan's: http://fans.jype.com/TWICEⓒ 2019 JYP Entertainment. All Rights Reserved"
"0DbXwisBq8M","좋아하는 사람이 위험에 빠졌다면 [일진에게 찍혔을 때] EP14 | ENG SUB","2019-09-12T09:00:00.000Z","UCybPxZoFDPR1qbN04daAc2g","콬TV","24","구래서 연두가 만날 사람 누구?!나 위험할 때, 가장 먼저 달려오는 사람02:51 타로박사ㅋㅋㅋ 승헌쓰 매력 🥰[일진에게 찍혔을 때] EP14#일찍 #승헌쓰 #느낌적인느낌[원작] 데이세븐 : 일진에게 찍혔을 때NCT U - New Love-조금 더 일찍 만날 수 있는 Naver V Live👉 http://bit.ly/Mistake_15-구독, 알림 설정해두면 콬드라마 빠르게 볼 수 있대요 ✍️콬TV 구독하기 👉 http://bit.ly/KOK_Subscribe-V Live ❤️ http://bit.ly/KOK_vliveNaver TV 🧡 http://bit.ly/KOK_navertvFacebook 💛 http://bit.ly/KOK_facebookInstagram 💚 http://bit.ly/KOK_insta-게임으로 한 번 더 일찍 ⚡️구글마켓 : http://bit.ly/2YRRkPn앱스토어 : http://bit.ly/2GbAaFi[Marked by King Bs], [被不良少年盯上-跑腿羅曼史],[A+男子に囲まれて] DownloadGoogle : http://bit.ly/2LVBpggAppstore : http://bit.ly/2OBNGZx","19.13.09","웹드라마|콬TV|일찍|일진에게찍혔을때|이은재|강율|윤준원|김소연|최찬이|주현영|NCT|NCTU|더맨블랙|웹드|서주호|지현호|일진|고백|사랑|남사친|여사친|짝남|짝녀|에이틴|연플리|다만너","763359","26078","297","3479","https://i.ytimg.com/vi/0DbXwisBq8M/default.jpg","False","False","구래서 연두가 만날 사람 누구?!나 위험할 때, 가장 먼저 달려오는 사람02:51 타로박사ㅋㅋㅋ 승헌쓰 매력 🥰[일진에게 찍혔을 때] EP14#일찍 #승헌쓰 #느낌적인느낌[원작] 데이세븐 : 일진에게 찍혔을 때NCT U - New Love-조금 더 일찍 만날 수 있는 Naver V Live👉 http://bit.ly/Mistake_15-구독, 알림 설정해두면 콬드라마 빠르게 볼 수 있대요 ✍️콬TV 구독하기 👉 http://bit.ly/KOK_Subscribe-V Live ❤️ http://bit.ly/KOK_vliveNaver TV 🧡 http://bit.ly/KOK_navertvFacebook 💛 http://bit.ly/KOK_facebookInstagram 💚 http://bit.ly/KOK_insta-게임으로 한 번 더 일찍 ⚡️구글마켓 : http://bit.ly/2YRRkPn앱스토어 : http://bit.ly/2GbAaFi[Marked by King Bs], [被不良少年盯上-跑腿羅曼史],[A+男子に囲まれて] DownloadGoogle : http://bit.ly/2LVBpggAppstore : http://bit.ly/2OBNGZx"
"y7rgcMBrJe8","브라질리언 왁싱 한 아내의 돌발행동","2019-09-12T09:06:14.000Z","UC9nFMAQcn0bqIrEV9vUdU1g","사나이 김기훈","23","킹기훈 버억케이스 사기smartstore.naver.com/beautycanvas/products/4539189590광고&편집문의 : 771tube@naver.com킹기훈 아프리카 TV : afreecatv.com/kimdhun킹기훈 페이스북: facebook.com/kingdhun킹기훈 인스타: instagram.com/monkey.d.kihoon구독과 좋아요 알림설정 꼭 부탁드립니다 :)","19.13.09","레전드|김기훈|아프리카tv|아프리카김기훈|킹기훈|끼후이|사나이김기훈","1101092","10167","380","762","https://i.ytimg.com/vi/y7rgcMBrJe8/default.jpg","False","False","킹기훈 버억케이스 사기smartstore.naver.com/beautycanvas/products/4539189590광고&편집문의 : 771tube@naver.com킹기훈 아프리카 TV : afreecatv.com/kimdhun킹기훈 페이스북: facebook.com/kingdhun킹기훈 인스타: instagram.com/monkey.d.kihoon구독과 좋아요 알림설정 꼭 부탁드립니다 :)"
"rtpkVPnPLs4","아이폰11 실물 보여드림 | 애플에게 뒤통수 맞았다! 아이폰11, 아이폰11 프로 | 애플은 컬러장인?! (iphone11, iphone 11 pro)","2019-09-11T04:45:16.000Z","UC5aNQ65ADb02zEJxzb_zmYQ","가전주부 GJJB","28","아이폰11 실물 보여드려요! 애플에게 뒤통수 맞았다! 아이폰11, 아이폰11 프로! 애플은 컬러장인?! (iphone11, iphone 11 pro, iphone 11 pro max)#애플 #가전주부 #아이폰11 #아이폰11프로","19.13.09","아이폰11|iphone 11|아이폰11프로|아이폰11프로맥스|아이폰11 실물|아이폰 11 실물느낌|아이폰11 색깔|아이폰11 컬러|아이폰 11 프로 미드나잇 그린|미드나잇 그린","901330","6214","945","3792","https://i.ytimg.com/vi/rtpkVPnPLs4/default.jpg","False","False","아이폰11 실물 보여드려요! 애플에게 뒤통수 맞았다! 아이폰11, 아이폰11 프로! 애플은 컬러장인?! (iphone11, iphone 11 pro, iphone 11 pro max)#애플 #가전주부 #아이폰11 #아이폰11프로"
"NJ4gXBFIIdk","큰일났다! 볼턴 후임 거론자 대단히 위험한 인물!","2019-09-12T19:30:00.000Z","UCbgqDFODvh-q38ouzoKKkVA","신인균의 국방TV","25","","19.13.09","신인균|신인균의 국방TV|국방TV|군사TV|안보TV|신인균TV|데일리디펜스|자주국방네트워크|신인균의 군사TV|볼턴|존 볼턴|백악관|국가안보보좌관|더글라스 맥그리거|비건|스티븐 비건|대북 정책 특별 대표|북핵문제|북핵|비핵화|북미대화|폼페이오|백악관 보좌관|맥매스터|존 켈리|허버트 맥매스터|국무장관|주한미군|대북정책","445953","29029","1352","1401","https://i.ytimg.com/vi/NJ4gXBFIIdk/default.jpg","False","False",""
