video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"leopt__ATR0","Ariana Grande, Miley Cyrus, Lana Del Rey - Don’t Call Me Angel (Charlie’s Angels)","2019-09-13T04:00:12.000Z","UC0VOyT2OCBKdQhF3BAbZ-1g","ArianaGrandeVevo","10","19.13.09","Ariana|Grande|Miley|Cyrus|Lana|Del|Rey|Don’t|Call|Me|Angel|(Charlie’s|Angels)|Republic|Records|Soundtrack","12372795","1582033","66921","116174","https://i.ytimg.com/vi/leopt__ATR0/default.jpg","False","False","Official music video by Ariana Grande, Miley Cyrus, Lana Del Rey performing “Don’t Call Me Angel (Charlie’s Angels)” – available now: https://charliesangels.lnk.to/dcmaYD►Follow Charlie’s Angels OnlineAdvanced Tickets: https://www.charliesangels.movie/tickets/?hs308=AG Watch Trailer: https://www.youtube.com/watch?v=RSUq4VfWfjE&t=52sInstagram: https://www.instagram.com/charliesangels/Facebook: https://www.facebook.com/CharliesAngels/Twitter: https://twitter.com/CharliesAngelsWebsite: https://www.charliesangels.movie/?hs308=AG►Follow Ariana Grande OnlineInstagram: https://www.instagram.com/arianagrande Facebook: https://www.facebook.com/arianagrande/ Twitter: https://twitter.com/ArianaGrande Website: https://www.arianagrande.com/ ►Follow Miley Cyrus OnlineInstagram: https://www.instagram.com/mileycyrusFacebook: https://www.facebook.com/MileyCyrusTwitter: https://twitter.com/MileyCyrusWebsite: https://mileycyrus.com/►Follow Lana Del Rey OnlineInstagram: https://www.instagram.com/lanadelrey/Facebook: https://www.facebook.com/lanadelreyTwitter: https://twitter.com/lanadelrey Website: https://lanadelrey.com/Video Director: Hannah Lux DavisVideo Producer: Brandon Bonfigliofor London Alley#CharliesAngels #DontCallMeAngelMusic video by Ariana Grande, Miley Cyrus, Lana Del Rey performing Don’t Call Me Angel (Charlie’s Angels). © 2019 Republic Records, a division of UMG Recordings, Inc. Motion Picture Artwork © CTMG.  All Rights Reserved."
"FmcNr5Z3wWQ","Gusttavo Lima - Quem Traiu Levou - DVD O Embaixador In Cariri (Ao Vivo)","2019-09-12T14:01:18.000Z","UCXooz9whNJZBRTHi9AqdjPw","Gusttavo Lima Oficial","10","19.13.09","Slap Música|Arrocha|Música Sertaneja (Musical Genre)|Pop|Gustavo Lima|Gusttavo Lima|Gatinha Assanhada|Tchererê Tche Tche|Sony|Sony Music|Buteco|Buteco do Gusttavo Lima|Buteco do Gusttavo Lima 2|O Embaixador|Homem de Família|Abre o Portão Que Eu Cheguei|Que Pena Que Acabou|Apelido Carinhoso|Na Hora de Amar|Mil Vezes Cantarei|Cem Mil|Eu Não Iria|Sujeito|Carrinho na Areia|Milu|O Embaixador In Cariri|Cariri|Quem Traiu Levou","2048993","173743","1838","7762","https://i.ytimg.com/vi/FmcNr5Z3wWQ/default.jpg","False","False","#GusttavoLima #QuemTraiuLevou #OEmbaixadorEssa música faz parte do novo álbum do Gusttavo Lima, O Embaixador In Cariri, gravado em Crato/CE.INSCREVA-SE NO CANAL: http://tinyurl.com/youtubeGLCOMPRE E OUÇA: https://smb.lnk.to/QuemTraiuLevouProdução: Gusttavo Lima e Newton FonsecaDireção: Anselmo TroncosoCompositores: Gusttavo Lima / Denner Ferrari / Felipe Goffi / Waléria Leão / Blener MaycomGravadora: Sony MusicQUEM TRAIU LEVOUNão to jogando pragaSe tratando de amorAqui se faz aqui se pagaVai preparando pra latadaO que eu bebi, cê vai beberO que eu sofri, cê vai sofrerVai ver quanto custaAmar alguém que não vale nadaTraição uma hora tem voltaEla vem e não bate na portaTo aqui ansioso esperando sua vez chegarOh, oh, oh, ohQuem traiu levouDesde que o mundo é mundo isso é regraVem na mesma moeda dobrado o valorOh, oh, oh, ohQuem traiu levouÔ benzinho eu não quero o seu malSó sei que no final vai sorrir quem chorouSiga Gusttavo Lima nas redes sociais!Facebook: https://www.facebook.com/gusttavolimaoficial/Youtube: https://www.youtube.com/gusttavolimaoficialInstagram: https://www.instagram.com/gusttavolima/Twitter: https://twitter.com/gusttavo_limaSite: http://gusttavolima.com.br/"
"bKi0LDj5SKo","As Aventuras de Poliana | capítulo 347 - 12/09/19, completo","2019-09-13T00:54:37.000Z","UCvgfiEUr4w7DaCyEoxkdkOw","As Aventuras de Poliana","24","19.13.09","as aventuras de poliana|poliana|novela poliana|poliana sbt|sophia valverde poliana|assistir poliana|vilões novela poliana|sbt novela|aventuras de poliana|aventuras poliana|pollyana|poliana novela|sbt poliana|chamada poliana|assistir novela poliana|as aventuras de poliana de hoje|as aventuras de poliana de ontem|capítulo de ontem|episódio completo|poliana 347|capítulo do dia 12/09/19|poliana ao vivo","1407554","86321","1641","4758","https://i.ytimg.com/vi/bKi0LDj5SKo/default.jpg","False","False","Escrita pela autora Iris Abravanel e com a direção-geral de Reynaldo Boury, a nova novela do SBT, As Aventuras de Poliana, é uma história inspirada no clássico da literatura infantojuvenil de 1913, Pollyana, de Eleanor H. Porter. A novela conta a história de Poliana, uma garota que ao perder os pais, se muda para São Paulo para viver com sua tia, a Luísa.  A garota sonha em estudar na escola Ruth Goulart e lá vai fazer muitos amigos!NOS ACOMPANHE NAS REDES SOCIAISAcesse o site oficial: https://www.sbt.com.br/novelas/as-aventuras-de-polianaCanal oficial da novela As Aventuras de Poliana!Curta nossa página no Facebook: https://www.facebook.com/AsAventurasDePolianaNos siga no Twitter: https://twitter.com/SBT_PolianaAcompanhe os bastidores em nosso Instagram: @asaventurasdepoliana"
"EMTK5tqCmTc","MINHA MÃE VEIO VISITAR A GENTE NA CASA NOVA❤️","2019-09-12T22:48:32.000Z","UC9eXFedzizQtlY5snZ-IFkg","Sunaika Bruna","24","19.13.09","minha mae veio visitar a gente na casa nova|casa nova|visita casa nova|sunaika bruna|sunaika souza|souza sunaika","471587","92833","298","1532","https://i.ytimg.com/vi/EMTK5tqCmTc/default.jpg","False","False","Minha mãe veio visitar a genteeee!!! Até que enfimmmmmm......E ai eu decidi fazer uma surpresa pra ela com uma mesa de café da manhã! espero que gostem do vídeo 🙈🙈Já aproveita e deixa seu like 👍🏻 e se inscreva no canal se ainda não for inscrito🥰🥰"
"zf_R0VgJAwM","SCOOBY REVELA SOFRIMENTO APÓS TÉRMINO COM ANITTA EM ENTREVISTA A LEO DIAS","2019-09-12T12:40:14.000Z","UCVFbXI6Gu8U2f9Gjtxw4A-Q","UOL","25","19.13.09","uol|noticia|notícias|reportagem|tvuol|entretenimento|pedro scooby|leo dias|léo dias|rio de janeiro|praia da reserva|surfista|surf|anitta|relacionamento|término|final|celebridades|scooby|pedro scooby anitta|anita scooby|leo dias entrevista scooby|entrevista scooby|leo dias e scooby|pedro scooby uol|scooby uol|scooby anitta telefone|scooby sofrimento|scooby sofrimento anitta|leo dias anitta|leo dias scooby uol|uol leo dias|leo dias entrevista","475207","19731","1805","5437","https://i.ytimg.com/vi/zf_R0VgJAwM/default.jpg","False","False","Não tenho tempo para pensar em tristeza. Em entrevista exclusiva ao UOL, gravada na Praia da Reserva, no Rio de Janeiro, o surfista Pedro Scooby falou sobre o término do namoro com Anitta.Revelou que a cantora deu fim ao relacionamento por telefone, dizendo que precisava de um tempo. Eu respeito. As pessoas têm os seus motivos. Eu não debati. Scooby ainda fez um balanço e assumiu que tentou, na relação com Anitta, corrigir erros que cometeu no passado com a ex-mulher, Luana Piovani.E disse que, talvez por ter se dedicado tanto ao relacionamento --sem saber dizer não à cantora--, o término tenha sido inevitável. Eu me doei muito, fui muito intenso, muito verdadeiro, muito muito presente, muito carinhoso, muito atencioso, avalia. Nunca disse não.-------------------------Bem-vindo ao canal do UOL no YouTube. Aqui você encontra notícias direto da redação, tudo sobre política, matérias especiais e o melhor do mundo do entretenimento. ** INSCREVA-SE NO CANAL: http://bit.ly/2xolCQ2"
"sOEUfUu35JM","ELE DESCOBRIU QUE TINHA PERDIDO A CARTEIRA NA HORA DE PAGAR A CONTA- Ep. 1396","2019-09-12T21:00:11.000Z","UCtrjFP7i92_30uv6IehwE5Q","Cadê a chave?","24","19.13.09","Leon|Martins|Nilce|Moretto|nilmoretto|leon|intercambio|intercâmbio|imigrar|br|pt|ptbr|canada|esquecimento|carteira|celular|passaporte|comida japonesa|sushi|sashimi|gastronomia|vlog|urbano|cidade|melhor cidade pra se viver|brasileiros em vancouver|brasileiros no canada","285603","49526","285","1100","https://i.ytimg.com/vi/sOEUfUu35JM/default.jpg","False","False","Camisas Coisa de Nerd  http://bit.ly/2arsmPrCamisas Coisa de Nerd para Portugal: https://bit.ly/2tIiHxsSnapchat do CAC: cadeachaveFACEBOOK do CAC: https://facebook.com/kdchaveInstagram do Leon: https://instagram.com/cdnleonCanal CoisadeNerd (GAMES) https://youtube.com/coisadenerdFacebook do Leon: https://facebook.com/coisadenerdTwitter da Nilce: https://twitter.com/nilmorettoInstagram da Nilce:  https://instagram.com/nilmorettoMusic by: Epidemic Sound www.epidemicsound.comYoutube (Ferramentas de Criação) Pacote Royalty Free do Sony Vegas"
"KlGqR8jLYbI","NOVO CHEVROLET ONIX E ONIX PLUS 2020 - Detalhes da NOVA GERAÇÃO em PRIMEIRA MÃO! | Top Speed","2019-09-12T17:18:22.000Z","UCzySGyh1QVkPar3ZjV0TiZA","Top Speed","2","19.13.09","onix|novo onix|onix 2020|onix plus|novo onix detalhe em primeira mao|leozitor|top speed|novo onix 2020|novo chevrolet onix|chevrolet|hatch compacto|carro mais vendido|menos nunca mais","200156","10967","176","1036","https://i.ytimg.com/vi/KlGqR8jLYbI/default.jpg","False","False","A convite da Chevrolet do Brasil, viemos até Porto Alegre para conhecer o novo Onix 2020, o compacto que subiu de categoria e traz uma série de novidades em toda a linha, desde plataforma modular até motorização Turbo.Preços:Onix LT 1.0 - R$ 51.590Onix LTZ 1.0 Turbo - R$ 66.290Onix Plus LT 1.0 Turbo - R$ 61.990Onix Plus LTZ 1.0 Turbo - R$ 70.990Tá curioso(a) para conhece-lo? Então...Acompanhe!Procurando um site de classificados confiável e com uma ampla gama de anúncios? O Top Speed recomenda a Mobiauto.Acesse: www.mobiauto.com.br e confira!Inscreva-se no Top Speed para receber vídeos automotivos, motociclísticos e dicas: http://goo.gl/fZMHQj  Instagram: https://instagr.am/canaltopspeedWebsite: http://www.topspeed.com.br"
"0MEE0TsScSo","Vagner Love: “Nasci flamenguista, mas virei corinthiano” - BTS #170","2019-09-12T22:00:38.000Z","UCFjrDmEnxrG5TRGVO0TPHLA","Desimpedidos","17","19.13.09","desimpedidos|bolivia|futebol humor|futebol|zueira|gol|golaço|soccer|mitagem|dibre|drible|time|disimpedidos|disimpididos|desimpididos|Vagner Love|BTS|Bolívia Talk Show|Bolívia Desimpedidos|Corinthians|Entrevista BTS|Du Meneses ESPN|Vagner Love Flamengo|Maracanã|Palmeiras|Copa São Paulo|Vagner Love entrevista|Renata Fan|Clayson Corinthians|Vagner Love agredido|Vagner Love Rússia|Malcom racismo|Tite|Vagner Love China|Adriano Imperador|Jô atacante|André balada","260077","41714","399","1377","https://i.ytimg.com/vi/0MEE0TsScSo/default.jpg","False","False","Demorou mas o homem tá aqui, Brasil! O BTS de hoje é com ele: o artilheiro do amor, atacante do Corinthians e desenrolado na resenha! O Bolivão trombou o Vagner Love na Arena Tango, da Adidas, e trocou uma ideia fera com o jogador, que admitiu ter deixado de ser flamenguista pra torcer pelo Timão! Segue a gente no Insta: http://bit.ly/2Sb4vbTCOMPRE O ALMANAQUE DESIMPEDIDOSAmazon - https://amzn.to/2NPe0uLLivraria Curitiba - http://bit.ly/2LmDIFwPanda Books - https://bit.ly/2NQiWQ7Este é o canal Desimpedidos. Pra quem ama futebol e zueira sem  limites, aqui  seu time é pequeno, o Paulo Baier é deus e o Cristiano Ronaldo é só mais um. CONTATO: contato@desimpedidos.com.br / imprensa@nwb.com.br--------------------------Experimente 1 mês grátis do banco de trilhas Epidemic Sound: http://bit.ly/epidemicnwb-------------------------Segue a gente no IG: @desimpedidos / @nwb.oficialCréditos: Gazeta PressArquivo PessoalGuilherme Costa/ Futura PressRubens Chiri/ Gazeta PressCristiano Estrela/ Diário CatarinenseMarcos Ribolli/ GLOBOESPORTEAFPCleber Mendes/ Agencia Lance!Aleksander Nemenov/ AFPNatalia Kolesnikova/ aFPTASSIvo Gonzalez/ Ag. O GloboMarcos Alves/ Ag. o GLOBO/ ArquivoAlexandre Durão/ FlamengoAri Ferreira/ Lancepress!Daniel Vorley/ AGIFDanilo Fernandes/ Meu TimãoEduardo caRMIM/ pHOTOARENA/ FolhapressGiuseppe Cacace/ AFPVanderlei Almeida/ aFPAPDRNelson Antoine/ APDaniel Augusto Jr./ CorinthiansPatrick Stollarz/ AFPFernando Dantas/ Gazeta PressMANAN VATSYAYANA/ AFPVIPCOMMALEXANDRE VIDAL/ FLA IMAGEM"
"3JP4PqKEglw","Jornal da Manhã 2a. Edição - 13/09/19","2019-09-13T18:30:14.000Z","UCP391YRAjSOdM_bwievgaZA","Jovem Pan News","25","19.13.09","[none]","125653","4525","189","1","https://i.ytimg.com/vi/3JP4PqKEglw/default.jpg","False","False","Inscreva-se no nosso canal:http://www.youtube.com/c/jovempannewsEntre no nosso site:http://jovempan.com.br/Facebook:https://www.facebook.com/jovempannewsSiga no Twitter:https://twitter.com/JovemPanNewsInstagram:https://www.instagram.com/jovempannewsoficial/#JovemPan"
"FHY_wYmVOAQ","COMPREI UM BARCO NOVO PARA MEU PAI","2019-09-12T14:45:00.000Z","UChMJkHCD2wdvSO7CMOuLR-w","Renato Garcia","24","19.13.09","RENATO GARCIA|RENATO DA XJ6|RENATO|CAMARO|DAILY VLOG|barco pai|barco|barco de pesca|pai|pai do renato garcia|renato garcia barco","1043698","274794","1993","3928","https://i.ytimg.com/vi/FHY_wYmVOAQ/default.jpg","False","False","Estou devendo um barco com motor para meu pai faz algum tempo, então finalmente dei o presente dele ! Minha Loja: https://www.lojarenatogarcia.com.br/MercadoLivre: https://eshops.mercadolivre.com.br/LOJARENATOGARCIA ●Instagram: https://www.instagram.com/renatogarciayt●Twitter: https://twitter.com/renatogarciayt●Facebook: https://www.facebook.com/renatogarciayoutubeME ENVIE PRESENTES ! Caixa Postal: 8748CEP: 86020980LONDRINA - PR MEU SEGUNDO CANAL: https://www.youtube.com/channel/UClUN2J5hwEsE6_sKW3SPlMg●Contato para parcerias e eventos: renatogarcia.comercial@gmail.com"
