video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"dqNEmR5uQCM","Booba - GLAIVE (Clip Officiel)","2019-09-12T13:59:54.000Z","UCNtD7oDVld6YeaYV7tCXo1A","B20baOfficiel","10","19.13.09","Booba|Tallac Records|92i|B2oba|Kopp|GLAIVE|octogone|damso|kaaris|niska|pnl|legende|duc|piraterie|dcntd|boulbi|glaive|glève|gleve|kop|kevin|dosseh|salemood|validee|scarface|pgp","1479055","94553","5154","6386","https://i.ytimg.com/vi/dqNEmR5uQCM/default.jpg","False","False","Single GLAIVE de Booba disponible : https://booba.lnk.to/GlaiveAbonne-toi : http://bit.ly/2aIsz16Réal vidéo : Chris Macari Prod By SizenDaProducer"
"leopt__ATR0","Ariana Grande, Miley Cyrus, Lana Del Rey - Don’t Call Me Angel (Charlie’s Angels)","2019-09-13T04:00:12.000Z","UC0VOyT2OCBKdQhF3BAbZ-1g","ArianaGrandeVevo","10","19.13.09","Ariana|Grande|Miley|Cyrus|Lana|Del|Rey|Don’t|Call|Me|Angel|(Charlie’s|Angels)|Republic|Records|Soundtrack","12372795","1581872","66914","116562","https://i.ytimg.com/vi/leopt__ATR0/default.jpg","False","False","Official music video by Ariana Grande, Miley Cyrus, Lana Del Rey performing “Don’t Call Me Angel (Charlie’s Angels)” – available now: https://charliesangels.lnk.to/dcmaYD►Follow Charlie’s Angels OnlineAdvanced Tickets: https://www.charliesangels.movie/tickets/?hs308=AG Watch Trailer: https://www.youtube.com/watch?v=RSUq4VfWfjE&t=52sInstagram: https://www.instagram.com/charliesangels/Facebook: https://www.facebook.com/CharliesAngels/Twitter: https://twitter.com/CharliesAngelsWebsite: https://www.charliesangels.movie/?hs308=AG►Follow Ariana Grande OnlineInstagram: https://www.instagram.com/arianagrande Facebook: https://www.facebook.com/arianagrande/ Twitter: https://twitter.com/ArianaGrande Website: https://www.arianagrande.com/ ►Follow Miley Cyrus OnlineInstagram: https://www.instagram.com/mileycyrusFacebook: https://www.facebook.com/MileyCyrusTwitter: https://twitter.com/MileyCyrusWebsite: https://mileycyrus.com/►Follow Lana Del Rey OnlineInstagram: https://www.instagram.com/lanadelrey/Facebook: https://www.facebook.com/lanadelreyTwitter: https://twitter.com/lanadelrey Website: https://lanadelrey.com/Video Director: Hannah Lux DavisVideo Producer: Brandon Bonfigliofor London Alley#CharliesAngels #DontCallMeAngelMusic video by Ariana Grande, Miley Cyrus, Lana Del Rey performing Don’t Call Me Angel (Charlie’s Angels). © 2019 Republic Records, a division of UMG Recordings, Inc. Motion Picture Artwork © CTMG.  All Rights Reserved."
"1NZY5fvxxtQ","Je soigne ma phobie de la mer","2019-09-12T17:03:20.000Z","UCWeg2Pkate69NFdBeuRFTAw","SQUEEZIE","24","19.13.09","squeezie phobie|squeezie mer|squeezie océan|squeezie vidéo phobie|squeezie requins","2829592","275216","2433","15251","https://i.ytimg.com/vi/1NZY5fvxxtQ/default.jpg","False","False","ABONNE-TOI ! http://bit.ly/2fm88Xo (merci)Vêtements Yoko : http://www.yokoshop.comRéseaux :Insta : https://www.instagram.com/xsqueezie/Twitter : http://www.twitter.com/xSqueeZieFacebook : http://www.facebook.com/SqueeZiePageOfficielleRègles de l'espace commentaire (à respecter sous peine d'être banni par l'équipe de modération) :- Écrire dans un français correct- Respecter les autres- Pas de commentaires putalike (like si tu regardes la vidéo en chaussettes par exemple)- Pas de pubs et de spams"
"KvmRDZy93Nc","PLK - Un peu de haine (Clip Officiel)","2019-09-13T10:45:38.000Z","UCL6gZm742-Xhxp4Cwa6kqpw","PLK TV","10","19.13.09","plk|polak|un peu de haine|mental|problemes|timal|maes","300833","54853","564","1566","https://i.ytimg.com/vi/KvmRDZy93Nc/default.jpg","False","False","Extrait de MENTAL nouvelle mixtape DISPO PARTOUUUT💵🧠▶️  https://panenkamusic.lnk.to/PLK-MentalInstagram : http://instagram.com/plkpbTwitter : http://twitter.com/plk75Facebook : https://www.facebook.com/plkrappeur/Snap : plk9275Réalisé par Orignal KidsProduit par HK CORPENNA MUSIC FRANCEPANENKA MUSIC"
"qqA_CmtH778","La police embarque Rico en direct ! #FreeRico #PlanèteRap","2019-09-13T10:48:52.000Z","UC5BYACI8gIm3wDlVnhKFG5A","SkyrockFM","10","19.13.09","Skyrock|Planète Rap|Rico|le poto rico|arréstation|arrestation en direct|police|à skyrock|lorenzo police|dérapage|fred|sex in the city|free rico","320666","11291","297","754","https://i.ytimg.com/vi/qqA_CmtH778/default.jpg","False","False","Abonne-toi à la chaîne ICI ► https://goo.gl/iYDY4ETélécharge l'Appli ICI ► https://goo.gl/fPnZlnDès lundi et tous les soirs de la semaine, retrouve Fred et Lorenzo dans Planète Rap !De 20h à 21h, viens découvrir en LIVE son nouvel album « Sex in the city », disponible depuis le 23 août !Site : https://skyrock.fm/Facebook : https://facebook.com/PlaneteRapSkyrockTwitter : https://twitter.com/Planete_RapInstagram : https://instagram.com/planete_rap/Twitch : https://twitch.tv/skyrockfm"
"qMjNCMLjy1w","Journal perso II","2019-09-12T22:19:16.000Z","UCud-pzOubYtXfFd3539G_hg","Vald - Topic","10","19.13.09","Vald|Journal perso II","109602","12978","120","698","https://i.ytimg.com/vi/qMjNCMLjy1w/default.jpg","False","False","Provided to YouTube by Universal Music GroupJournal perso II · ValdJournal perso II℗ 2019 Mezoued Records Et Suther Kane FilmsReleased on: 2019-09-13Associated  Performer, Vocals: ValdProducer, Associated  Performer, Programming: SeezyAssociated  Performer, Co- Arranger: Sofiane PamartAuthor: ValdComposer: SeezyAuto-generated by YouTube."
"xwIuLgsBn4o","Kalash - Salam","2019-09-13T10:00:13.000Z","UCo1BPH1dhJDUZMh_Jj4ISIw","KalashVEVO","10","19.13.09","kalash|kalash salam|Kalash salam lyrics|Kalash salam paroles|Kalash salam clip|Kalash 2019|Kalash album|kalash praline|kalash jtc|kalash lambis|kalash taken|kalash mwaka moon|mwaka moon|kalash bando|Kalash|Salam|Universal|Music|Division|Capitol|France|Rap","197840","17384","883","1035","https://i.ytimg.com/vi/xwIuLgsBn4o/default.jpg","False","False","Nouveaux singles disponibles ici : https://Kalash.lnk.to/SalamCompositeur : Play KidReal Video : Randy RoselConnecte toi avec Kalash sur ses réseaux sociaux : Facebook : https://www.facebook.com/officielKalash Twitter : https://twitter.com/kalash972 Instagram : https://instagram.com/kalash972YouTube : https://www.youtube.com/user/972KALASH?sub_confirmation=1Music video by Kalash performing Salam. © 2019 Capitol Music Francehttp://vevo.ly/rEy7El"
"o2dhWf4xJdc","Les 90's VS Aujourd'hui - Andy","2019-09-12T16:01:06.000Z","UCFcM0GoHEl6vNBdff0jBHDw","ANDY","23","19.13.09","andy|andy raconte|andy rowski|90's|90s|nineties|nadia richard|alix gavoille","751965","81067","1312","884","https://i.ytimg.com/vi/o2dhWf4xJdc/default.jpg","False","False","Si tu as vécu pendant cette période, c'est quoi tes souvenirs ?Pour tous les nostalgiques, les 80's et 90's babies, ou les millenials qui sont curieux de savoir comment on survivait sans internet à l'époque, petit retour en arrière !J'avais envie de faire cette vidéo depuis longtemps alors merci à l'équipe qui m'a permis de faire ce petit saut dans le temps :)Fais ta B.A de la journée et suis-moi sur insta ! @andyrowskiMerci à Nadia Richard  (Utile Futile) https://www.youtube.com/channel/UCRXvTfwctBJlkaJ3MbsPf8wEt à Alix Gavoille http://www.instagram/com/alixgavoilleET à Studio71 pour la production !Surtout merci à toi d'être là !! Ah si c'est pas déjà fait tu peux t'abonner tout ça tout ça, n'oublies pas de mettre la cloche pour que tu saches quand je poste une vidéo, ça t'éviteras de te demander si j'ai arrété les vidéos (Réponse : Non. pas prévu!)A dans un mois! ;)"
"nyltrR7JyuM","Soldat","2019-09-12T14:01:48.000Z","UCY7MKTmE_knveIpCPwdJv1w","Aya Nakamura - Topic","10","19.13.09","Aya Nakamura|NAKAMURA|Soldat","187277","8821","390","290","https://i.ytimg.com/vi/nyltrR7JyuM/default.jpg","False","False","Provided to YouTube by Rec. 118Soldat · Aya NakamuraNAKAMURA℗ 2019 Rec. 118 / Warner Music France, a Warner Music Group CompanyProducer: Aloïs Zandry (Perspective Production)Lead  Vocals: Aya NakamuraMasterer: Eric ChevetRecorder: Etienne MacorProgrammer: Ever MihigoProgrammer: Le SIDERecorder: MachinystMixer: Vincent AudouProducer: Vladimir Boudnikoff (Perspective Production)Lyricist: Aya NakamuraComposer: Ever MihigoLyricist: HaristoneComposer: Le SIDEAuto-generated by YouTube."
"H0hOYEpHbGM","Kery James - Les yeux mouillés (feat. Youssoupha) [Clip Officiel]","2019-09-13T10:06:17.000Z","UCjfIMz-a7tpPZCYQoD8pMEQ","Kery James","10","19.13.09","Kery James|keryjames|rap français|kery james youtube|yt:cc=on|youssoupha|netflix|banlieusards|rap","151972","16770","226","1115","https://i.ytimg.com/vi/H0hOYEpHbGM/default.jpg","False","False","Disponible en streaming 👉https://KeryJames.lnk.to/TuVoisJrapEncoreIDS'abonner à la chaîne 👉 http://bendo.eu/KeryJamesYBDans ce titre, Kery James se glisse dans la peau de Demba, le personnage qu'il interprète dans le film Banlieusards dont il a signé le scénario.Sur un thème musical tiré du long métrage co-réalisé par Leila Sy et Kery James qui sera disponible le 12 Octobre sur Netflix, Kery James nous décrit les sentiments d'un homme rongé par ses choix de vie qui craint de voir mourir sa mère.Ce titre figure dans la réédition de son dernier album Tu Vois J'RAP Encore qui contient 5 inédits dont À qui la faute en Featuring avec Orelsan, disponible dès maintenant en streaming et en téléchargement.Banlieusards : Trois frères issus d’une banlieue sensible de la région parisienne. Soulaymaan, élève avocat à Paris, réussit brillamment ses études. Son chemin croise celui de Lisa face à laquelle il débat sur la responsabilité de l'État dans la situation actuelle des banlieues lors de la finale d'un célèbre concours d'éloquence. Demba, l’aîné, vit aux rythmes du trafic et de la rue. Leur petit frère Noumouké, 15 ans, cherche encore sa voie, et doit choisir auquel de ses deux grands frères il veut ressembler. Une bagarre, un coup de feu, un drame.---------------------------------------------------------- Réalisé par Leïla Sy Auteurs : Kery James & Youssoupha Compositeurs : UssaR - Arthur Simonini - Coolax----------------------------------------------------------Rejoins Kery James sur ses réseaux :Facebook : http://bendo.eu/KeryJamesFBInstagram : http://bendo.eu/KeryJamesISTwitter : http://bendo.eu/KeryJamesTW#KeryJames #LesYeuxMouilles #Banlieusards"
