video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"leopt__ATR0","Ariana Grande, Miley Cyrus, Lana Del Rey - Don’t Call Me Angel (Charlie’s Angels)","2019-09-13T04:00:12.000Z","UC0VOyT2OCBKdQhF3BAbZ-1g","ArianaGrandeVevo","10","19.13.09","Ariana|Grande|Miley|Cyrus|Lana|Del|Rey|Don’t|Call|Me|Angel|(Charlie’s|Angels)|Republic|Records|Soundtrack","12372795","1582079","66923","116571","https://i.ytimg.com/vi/leopt__ATR0/default.jpg","False","False","Official music video by Ariana Grande, Miley Cyrus, Lana Del Rey performing “Don’t Call Me Angel (Charlie’s Angels)” – available now: https://charliesangels.lnk.to/dcmaYD►Follow Charlie’s Angels OnlineAdvanced Tickets: https://www.charliesangels.movie/tickets/?hs308=AG Watch Trailer: https://www.youtube.com/watch?v=RSUq4VfWfjE&t=52sInstagram: https://www.instagram.com/charliesangels/Facebook: https://www.facebook.com/CharliesAngels/Twitter: https://twitter.com/CharliesAngelsWebsite: https://www.charliesangels.movie/?hs308=AG►Follow Ariana Grande OnlineInstagram: https://www.instagram.com/arianagrande Facebook: https://www.facebook.com/arianagrande/ Twitter: https://twitter.com/ArianaGrande Website: https://www.arianagrande.com/ ►Follow Miley Cyrus OnlineInstagram: https://www.instagram.com/mileycyrusFacebook: https://www.facebook.com/MileyCyrusTwitter: https://twitter.com/MileyCyrusWebsite: https://mileycyrus.com/►Follow Lana Del Rey OnlineInstagram: https://www.instagram.com/lanadelrey/Facebook: https://www.facebook.com/lanadelreyTwitter: https://twitter.com/lanadelrey Website: https://lanadelrey.com/Video Director: Hannah Lux DavisVideo Producer: Brandon Bonfigliofor London Alley#CharliesAngels #DontCallMeAngelMusic video by Ariana Grande, Miley Cyrus, Lana Del Rey performing Don’t Call Me Angel (Charlie’s Angels). © 2019 Republic Records, a division of UMG Recordings, Inc. Motion Picture Artwork © CTMG.  All Rights Reserved."
"xdhoMLGPXFc","Alex Rose - Ontas? (Remix) - Miky Woodz, Juhn El AllStar, Rauw Alejandro & JD Pantoja","2019-09-12T16:00:09.000Z","UCTADar3wgHZaPoZYGYgKGaw","Alex Rose","10","19.13.09","Alex Rose|Reggaeton|Ontas|Remix|Miky Woodz|JD Pantoja|Juhn|El AllStar|El All Star|Rauw Alejandro|Mexico|Puerto Rico|Summer|Fall|Verano|2019|Ontas Remix|Ontas Miky Woodz|Ontas JD|Ontas Mexico|Ontas Rauw|Ontas Rauw Alejandro|latin|urban|musica|new music|Latin Trap|NVO Records|Los Oidos Fresh|Latin Urban|Urbano|Latin R&B","1080048","91477","3586","7418","https://i.ytimg.com/vi/xdhoMLGPXFc/default.jpg","False","False","Alex Rose - Ontas? (Remix) - Miky Woodz, Juhn El AllStar, Rauw Alejandro & JD PantojaSuscribirte : https://www.youtube.com/channel/UCTADar3wgHZaPoZYGYgKGaw?sub_confirmation=1Otros Exitos de Alex RoseToda (Remix): https://youtu.be/lKDGxAHZt0EDarte (Remix): https://youtu.be/RHGURdaK0sQKhalifa: https://youtu.be/0GLUcpPXXbkFollow Alex RoseInstagram: http://instagram.com/AlexRoseOficialTwitter: https://mobile.twitter.com/YoSoyAlexRoseFacebook: https://www.facebook.com/AlexroseoficialmusicSnap Chat: AlexRoseGC7Sound Cloud: https://m.soundcloud.com/AlexRoseOficialBooking/ ContractacionesE-mail: BookingAlexRose@gmail.comTelefono: +1-407-462-2715"
"nPkX33RhApA","Luisa Fernanda W - Asi Soy Yo (Official Video)","2019-09-13T05:01:07.000Z","UCqFnzlvTOH8rQD3GBAt5AXA","Luisa Fernanda W","24","19.13.09","luisa fernanda w|LO SIENTO PERO ASI SOY YO|LFW|pipe bueno|legarda|daniela legarda|pasabordo|colombia|asi yo yo|lo siento|luisa lo siento|bloqueo|mi regalo|rosalia|paloma mami|karol g","824475","158575","8454","12713","https://i.ytimg.com/vi/nPkX33RhApA/default.jpg","False","False","#LuisaFernandaW #AsiSoyYo #LoSientoPeroAsiSoyYo Instagram: https://www.instagram.com/luisafernandaw/Facebook: https://www.facebook.com/LuisafwTwitter: https://twitter.com/luisafernandawYouTube: http://www.youtube.com/c/LuisaFernandaW"
"WLaX_qu-v84","Uzielito Mix - La Suburban ft.Candela Music (Video Oficial)","2019-09-13T00:00:11.000Z","UC8Tzhso0iRBz1HGWBdyy4dw","Uzielito Mix Tv","10","19.13.09","UZIELITO MIX|MEXATON|LA SUBURBAN|LA PLEBADA|UZIELITO|MIX|MATALOS PAPI|TRA TRA TRA|FIN DE SEMANA","146890","21057","679","816","https://i.ytimg.com/vi/WLaX_qu-v84/default.jpg","False","False","#MEXATON #LASUBURBAN #UZIELITOMIXCandela Music Presenta: Uzielito Mix ft.Maell, Eme Malafe,El Habano, Chino el Gorila,Michael G, Daniel Martinez, Dj Jester & Dj Esli-LA SUBURBAN(Video Oficial)Spotify: https://open.spotify.com/artist/7wgrXbrp9RJQMri26GZgyH?si=uA-wF5VOTKWo-cHAN-ExxQiTunes: https://music.apple.com/mx/artist/uzielito-mix/1182016351Worldwide Records 2019 ©️®️"
"egwPkcD9Apo","Maquillando a YouTubers | Kim Shantal","2019-09-12T20:45:15.000Z","UCyEoU-5DlJYb-ggvN2qm8cg","Daniela Alfaro","24","19.13.09","maquillaje|brocha|amigas|platica|amistad|pareja|consejo|pregunta|respuesta","999346","77335","1487","2264","https://i.ytimg.com/vi/egwPkcD9Apo/default.jpg","False","False","Familia, me divertí muchisimo grabando con Kim. ¡COMENTA a quien más debería maquillar!#DanielaAlfaro #KimShantalDANIELA ALFAROInstagram: https://www.instagram.com/SoydannyalfaroYoutube: https://www.youtube.com/c/DanielaAlfaroGFacebook: https://www.facebook.com/soydannyalfaroTwitter: https://twitter.com/SoyDannyAlfaroKIM SHANTALInstagram: https://www.instagram.com/kimshantalYoutube: https://www.youtube.com/c/KimShantalFacebook: https://www.facebook.com/kimshantalmxTwitter: https://twitter.com/kimShantal_CONTACTO: contacto@vuntu.com"
"e8uHRFxmEqs","TRABAJANDO EN LA TAQUERIA DE KAROL SEVILLA","2019-09-12T21:00:15.000Z","UC2IDkGu61j_mwNJOc54Sb5w","BERTH OH!","24","19.13.09","aqui|van|las|etiquetas","884029","58680","1245","2969","https://i.ytimg.com/vi/e8uHRFxmEqs/default.jpg","False","False","Hola RicoSuaves! Gracias por estar aquí!Les dejo el link al video de Karol ¿Me ganó?https://www.youtube.com/watch?v=JC1BWlzVt2kSÍGANME EN MIS REDES.FACEBOOKhttps://www.facebook.com/Juan-Bertheau-Berth-325621130970329/?ref=hlTWITTERhttps://twitter.com/JuanBertheauINSTAGRAMhttps://www.instagram.com/juanbertheau/"
"iqWqlcIjN7A","YOLO Y MARIANA TIENEN UNA CITA ROMANTICA - 15 preguntas para ex novios","2019-09-12T22:52:38.000Z","UCqma_8hr8yOgr37wdUY-E7Q","NANDO","23","19.13.09","nando|NANDO|yolo|mariana|yolo aventuras|novia|risas|ex|ex novia|yoloriana|cita romantica|15 preguntas|preguntas|ex novio|ex novios|badabun|cracks|reto|beso|romantica|cita|tendencias|broma|diversion|mexico|colombia|aeme|15 preguntas para ex novios|panda|yolo novia|mariana novio|24 horas|prank|jukilop|challenge|Argentina|viral|YOLORIANA|nando hermano|show|parejas|ex pareja|terminamos|argentina","812931","161186","1675","5624","https://i.ytimg.com/vi/iqWqlcIjN7A/default.jpg","False","False","NOS VEMOS EN VIVO EN NIMO TV: https://www.nimo.tv/cracksHola, wey. Invité a mi HERMANO YOLO y a su ex novia MARIANA a jugar un juego muy divertido llamado INTERCAMBIANDO CASAS POR UN DÍA. Cada uno tendrá 3 minutos para revisar el cuarto de la otra persona. ¿qué cosas raras encontrarán? Si quieres una segunda parte, dale LIKE a este video.SÍGUENOS EN INSTAGRAM:YOLO: https://www.instagram.com/medicenyoloNANDO: https://www.instagram.com/soynanditoMARIANA: https://www.instagram.com/soymarianaavilaESTE ES MI CANAL DE JUEGOS: https://www.youtube.com/channel/UCoOLEikViiW-rUdmTn2d_uAINSTAGRAM DE JOTA:  https://www.instagram.com/JotaAventureroSuscríbete porque se vienen mejores vídeos que les va a encantar, porque darle like es FACILITO PAPÁ. Contacto: Nandopublicidad@hotmail.com"
"TVknWXk2v50","C. Tangana, Paloma Mami - No Te Debí Besar (Video Oficial)","2019-09-12T19:00:11.000Z","UCPTQlbt5SZO_SpYvC4Ygl-A","CTanganaVEVO","10","19.13.09","paloma mami|c tangana|tangana|pucho|ctangana|trap|urbano|latino hotlist|flow urbano|C. Tangana|Paloma Mami|Latin Urban|No Te Debí Besar|Sony Music Entertainment","1321054","133663","5695","4984","https://i.ytimg.com/vi/TVknWXk2v50/default.jpg","False","False","Music video by C. Tangana, Paloma Mami performing No Te Debí Besar (Video Oficial). (C) 2019 Sony Music Entertainment España, S.L.https://puchoxpalomamami.lnk.to/NoTeDebiBesarC. TanganaWEB https://www.ctangana.comIG https://www.instagram.com/c.tangana/TW https://twitter.com/c_tanganaFB https://www.facebook.com/ctanganaoficial/Paloma MamiWEB http://www.palomamamimusic.com/IG https://www.instagram.com/palomamami/?hl=es-laTW https://twitter.com/palomamamicl?lang=esFB https://www.facebook.com/PaIomaMami/Alizzz WEB http://www.alizzzmusic.com IG https://www.instagram.com/alizzzmusic/?hl=enTW https://twitter.com/alizzzmusic?lang=enFB https://www.facebook.com/alizzzmusic/NO TE DEBÍ BESAR (LYRICS)El club apunto de cerrarEmpujo a gente pa’ pasarTodos mirándote bailarTe entro como un matadorPreparado para lo peorTu cariño es como un mal dolorSonaba la canción de terminarEl club estaba apunto de cerrarTu bailabas sola en la mitadY el resto mirandoSiempre has sido difícil de imitarNo debí dejarme hipnotizarNo debí acercarme sin pensar (No)No te debí besar No me debiste besarNo te debí besar No me debiste besarYo te controlo la menteMami te pone calienteYo te digo más despacio, después más deprisaY acabamos fuerteNo debiste acercarte (No)No debiste rozarme (No)No debiste enamorarte (No) Te tengo preso en mis garrasPapi no hay vuelta atrásNo puedes salir de la trampaPidiendo más y más (Necesito más)Bebesito don’t gass yourselfI got you like everyone elseI have you under my spellNot the only oneNo te debí besar No me debiste besarNo te debí besar No me debiste besarAún recuerdo tu saborEncerrado como una prisiónEn mi boca como una obsesiónDios ayúdame a aceptarLas cosas que no puedo cambiarDios ayúdame, dame valorMovías ese pum pum como al galopeIntentando que el pedo no se me noteQuería que ese tam tam me lo reboteY que me traigan botellas para que exploteMovías ese pum pum como al galopeIntentando que el pedo no se me noteQuería que ese tam tam me lo reboteY que me traigan botellas para que exploteNo te debí besar No me debiste besarNo te debí besar No me debiste besarVIDEOS: https://www.youtube.com/watch?v=HAc3T4aMENI&list=PLXj5JwtQIKHoP_emT5spBE1BeztewnOzf&index=2&t=0s"
"EzY8N9Ql6ys","Tarea en Equipo | SKETCH | QueParió!","2019-09-13T03:54:12.000Z","UCZbYxi86Fk4t4KUqRAec5oA","QueParió!","23","19.13.09","enchufetv|backdoor|escuela","162168","22500","321","836","https://i.ytimg.com/vi/EzY8N9Ql6ys/default.jpg","False","False","Un equipo de universitarios tienen que preparar una exposición.----------------------------------------------------------------------------------------▶ CANAL DE JAKE (RICARDO):https://www.youtube.com/user/LaboratorioNOTwork----------------------------------------------------------------------------------------▶ NUESTRO FACEBOOK:http://www.facebook.com/QuePariocom▶ NUESTRO GRUPO DE FACEBOOK OFICIAL:https://www.facebook.com/groups/320273942154648/▶ NUESTRO CANAL PADAWAN (MACHINTV):https://www.youtube.com/MachinTV▶ Hazte patrocinador de QueParió! y obtén beneficios:https://www.youtube.com/channel/UCZbYxi86Fk4t4KUqRAec5oA/join----------------------------------------------------------------------------------------CAST:▶ Dirección, guión y jefe del otro equipo:Ronald - https://instagram.com/Ron_Roneos▶ Producción y veterinaria:Daniela - https://instagram.com/DanielaBinisa▶ Guión e integrante que no llegó:Edgar- https://instagram.com/EdgarLunaQP▶ Guión y Jorge:Cristian - https://instagram.com/Crisontiv▶ Asistente de producción y Carlos:Nacho - https://instagram.com/EseNachoMan▶ Dirección de fotografía:Fer Universe - https://instagram.com/FerUniverse▶ Tema musical triste e integrante del otro equipo:Orlando - https://instagram.com/ElPinshiOrlando▶ Sandra:Giovanna - https://instagram.com/GioUtrilla▶ Marianita:Emma - https://instagram.com/Malicigoma▶ Sandra:Giovanna - https://instagram.com/GioUtrilla▶ Ricardo:Jake - https://instagram.com/JakeMattte▶ Ligue treintón de Sandra:Erick Selim - https://instagram.com/ErickSelim▶ Voz de papá:El Tío de Edgar - https://instagram.com/ElTiodeEdgar▶ Profesor:Enrique López - https://instagram.com/Enriquelb_actor"
"OEvPda1oSYQ","Paulo Londra - No Puedo (Official Video)","2019-09-11T22:00:06.000Z","UCzI7wZyqk7jpXWT_MILjepw","Paulo Londra","10","19.13.09","paulo londra|paulo|pablo|londra|por eso vine|tal vez|ovy on the drums","5560918","624768","5319","30384","https://i.ytimg.com/vi/OEvPda1oSYQ/default.jpg","False","False","Paulo Londra NO PUEDO(Spotify)▶ https://open.spotify.com/track/6MbSMSXrSlvsyHf4kcaLQi(Apple) ▶ https://music.apple.com/us/album/homerun/1462966662?l=es(Deezer)▶http://www.deezer.com/album/97955822Visit Paulo Londra online:https://www.instagram.com/PaulolondraMusic Produced by OVY ON THE DRUMS:https://www.instagram.com/ovyonthedrums/Para contrataciones:  paulolondra1@Gmail.comFilm and Directed by ORCO VIDEOShttps://www.instagram.com/orcovideos© 2019 BIG LIGAShttps://www.instagram.com/bigligas/"
