video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"PHiUedgbciI","Blair Witch Баги, Приколы, Фейлы","2019-09-13T13:30:42.000Z","UCf31Gf5nCU8J6eUlr7QSU0w","Marmok","20","19.13.09","gameplay|fun|bugs|геймплей|приколы|смешно|неудачи|игра|rus|рус|смешные моменты|пк|баги|mr. marmok|мармок|Marmok|Funny|Угар|юмор|fails|фейлы|фэйлы|Blair Witch","926370","246943","1511","17162","https://i.ytimg.com/vi/PHiUedgbciI/default.jpg","False","False","Скачивай Crossout бесплатно и получай бонусы - https://xo.pub/marmok---------------------------------------------------------------------------------------● Группа Вконтакте: http://vk.com/mr.marmok● Лайв канал: http://youtube.com/channel/UCkxpiTIU50N3_dNt4WMMZyw---------------------------------------------------------------------------------------Мармок в мобильной игре:Android - https://play.google.com/store/apps/details?id=com.taptics.marmokIdleiOS - https://itunes.apple.com/us/app/marmoks-team-monster-crush/id1293669374?l=ru&ls=1&mt=8---------------------------------------------------------------------------------------Трек в конце используется на правах Magic Music:Track: Romen Jewels - Rolling (ft. T-Roc) Music Provided by Magic RecordsListen To The Original: https://youtu.be/VggYhEHxlyIFree Download: https://fanlink.to/rllng---------------------------------------------------------------------------------------Права на фоновую музыку:Production Music courtesy of Epidemic Sound!"
"leopt__ATR0","Ariana Grande, Miley Cyrus, Lana Del Rey - Don’t Call Me Angel (Charlie’s Angels)","2019-09-13T04:00:12.000Z","UC0VOyT2OCBKdQhF3BAbZ-1g","ArianaGrandeVevo","10","19.13.09","Ariana|Grande|Miley|Cyrus|Lana|Del|Rey|Don’t|Call|Me|Angel|(Charlie’s|Angels)|Republic|Records|Soundtrack","12372795","1581972","66918","116173","https://i.ytimg.com/vi/leopt__ATR0/default.jpg","False","False","Official music video by Ariana Grande, Miley Cyrus, Lana Del Rey performing “Don’t Call Me Angel (Charlie’s Angels)” – available now: https://charliesangels.lnk.to/dcmaYD►Follow Charlie’s Angels OnlineAdvanced Tickets: https://www.charliesangels.movie/tickets/?hs308=AG Watch Trailer: https://www.youtube.com/watch?v=RSUq4VfWfjE&t=52sInstagram: https://www.instagram.com/charliesangels/Facebook: https://www.facebook.com/CharliesAngels/Twitter: https://twitter.com/CharliesAngelsWebsite: https://www.charliesangels.movie/?hs308=AG►Follow Ariana Grande OnlineInstagram: https://www.instagram.com/arianagrande Facebook: https://www.facebook.com/arianagrande/ Twitter: https://twitter.com/ArianaGrande Website: https://www.arianagrande.com/ ►Follow Miley Cyrus OnlineInstagram: https://www.instagram.com/mileycyrusFacebook: https://www.facebook.com/MileyCyrusTwitter: https://twitter.com/MileyCyrusWebsite: https://mileycyrus.com/►Follow Lana Del Rey OnlineInstagram: https://www.instagram.com/lanadelrey/Facebook: https://www.facebook.com/lanadelreyTwitter: https://twitter.com/lanadelrey Website: https://lanadelrey.com/Video Director: Hannah Lux DavisVideo Producer: Brandon Bonfigliofor London Alley#CharliesAngels #DontCallMeAngelMusic video by Ariana Grande, Miley Cyrus, Lana Del Rey performing Don’t Call Me Angel (Charlie’s Angels). © 2019 Republic Records, a division of UMG Recordings, Inc. Motion Picture Artwork © CTMG.  All Rights Reserved."
"2TDKx2JQBS0","БОБ попал в самое сильное ЗЕМЛЕТРЯСЕНИЕ (эпизод 17, сезон 5)","2019-09-13T13:23:26.000Z","UCRMhRfQfaDs-HRaBTDCUK4A","Знакомьтесь, Боб","1","19.13.09","диктор|КБ|боб|знакомьтесь боб|что если|игры разума|ЧЕ|факты|наука|dicktor_inc|реакции|диктор смотрит|теории знакомьтесь боб|знакомьтесь боб теории|знакомтесь боб|роберт|анимация|боб 5 сезон|5 сезон|пасхалки|кб|че|анимационный юмор|боб со шрамом|sience|знакомиться боб|позновательное|красный боб|землетрясение|боб землетрясение|БОБ попал в самое сильное ЗЕМЛЕТРЯСЕНИЕ|боб попал в землетрясение|попал в самое сильное ЗЕМЛЕТРЯСЕНИЕ","454642","50398","516","2490","https://i.ytimg.com/vi/2TDKx2JQBS0/default.jpg","False","False","Скачайте приложение MyACUVUE сейчас и активируйте скидку 500 рублей! http://bit.ly/2kLkXTR------------------------------------------------------------Боб в ВК: https://vk.com/thisisbob_officialСотрудничество: bob@wildjam.ruInstagram Боба: https://www.instagram.com/official_this_is_bob/Канал «ЧТО, ЕСЛИ»: https://goo.gl/2EinWXКанал «ИГРЫ РАЗУМА»: https://goo.gl/yhaAj1Эй, Боб, слышишь этот странный звук из-под земли? Кажется, ты нетвердо стоишь на ногах. Да это же землетрясение!!! И конечно, для тебя, Боб, только самое сильное... Как думаете, сможет ли Боб остаться живым? Смотрите, как БОБ выживает в самом сильном ЗЕМЛЕТРЯСЕНИИ в 17 эпизоде 5 сезона Знакомьтесь, Боб"
"AQxhxUN1bO0","КТО опубликовал ЗАПРЕЩЕННЫЙ КЛИП?!!","2019-09-13T06:01:59.000Z","UCdvorvtyQZc2n_zPA5W6ugA","Follow Me","22","19.13.09","[none]","440631","19224","2615","0","https://i.ytimg.com/vi/AQxhxUN1bO0/default.jpg","True","False","Сотрудничество: lisa233691@icloud.com"
"Bbp5KHoRYZg","КОРОЧЕ ГОВОРЯ, НОВЫЙ IPHONE 11 [От первого лица] | ИККЕРО КУПИЛ АЙФОН","2019-09-12T11:05:30.000Z","UCK8o7PWlBPbzhajib_P7FKg","ИККЕРО","22","19.13.09","короче говоря|короче|короче говоря новый айфон|короче говоря iphone 11|короче говоря iphone 11 pro max|короче говоря iphone|короче говоря купил iphone|купил iphone|iphone|купил айфон|айфон|айфон за репост|от первого лица|КОРОЧЕ ГОВОРЯ IPHONE 11|КОРОЧЕ ГОВОРЯ АЙФОН|КОРОЧЕ ГОВОРЯ|КОРОЧЕ ГОВОРЯ КУПИЛ АЙФОН|apple|wylsa|Wylsacom|iphone 11|iphone 11 pro|айфон 11|айфон 11 pro max|презентация|Apple iPhone 11|иккеро|ikkero|юмор|тренды|rjhjxt ujdjhz|rjhjxt","1479117","66747","6349","9153","https://i.ytimg.com/vi/Bbp5KHoRYZg/default.jpg","False","False","Регистрируйся в World of Tanks по ссылке https://buzz.guru/_aheuh4j8 и получай от меня специальный бонус: танк Tetrarch + 3 дня премиума + 400.000 серебраКОРОЧЕ ГОВОРЯ, НОВЫЙ IPHONE 11 [От первого лица] | ИККЕРО КУПИЛ АЙФОНЯ ОЧЕНЬ ХОЧУ iPhone 11И iphone 11 Pro Max, 11 Pro и apple watch, и вообще всю технику Apple.Короче, 10 сентября прошла презентация, на которой компания Apple представила три новых iPhone: iPhone 11, iPhone 11 Pro и iPhone 11 Pro Max. Эту презентацию транслировал Wylsa на своем канале Wylsacom.  В этом году я решил любыми методами его заполучить, какую идею я придумал -  смотри в этом видео от первого лица.ВСЕМ ПРИВЕТ! меня зовут Иккеро и я снимаю видео в формате КОРОЧЕ ГОВОРЯ от первого лица. Я объеденил два популярных формата: #корочеговоря, который вы могли видеть на каналах - Room factory, Тим Тим, OneTwo и Mak и #отпервоголица, который вы могли видеть на канале Black Horse.Очень надеюсь, что вам понравится и я попаду в тренды! Поставь лайк и подпишись на канал, ведь так я чувствую твою поддержку! СПАСИБО =)Я В СОЦИАЛЬНЫХ СЕТЯХ:-Мой VK: https://vk.com/ikkero-INSTAGRAM: https://www.instagram.com/ikkeroo-TWITTER: https://twitter.com/ikkeroo-ГРУППА ВК: https://vk.com/ikkeroo#ИККЕРОМузыка в видео :Music by Tobu and Itrohttp://www.7obu.comhttp://www.youtube.com/tobuofficialhttp://www.facebook.com/tobuofficialProduction music courtesy of epidemic sound!"
"0D0-yLQ9n2s","ПРОЗРАЧНЫЙ УЛЕЙ АТАКОВАЛ ГИГАНТСКИЙ ШЕРШЕНЬ...","2019-09-13T07:30:00.000Z","UCRf9Ny0JwR35SNgswGLedOw","Live Today","24","19.13.09","Live today|Лайв тудей|лайвтудей|Енот|Енот Хайп|эксперимент|ХАЙП|что если|прозрачный улей|пчёлы в прозрачном улье|прозрачный улей live today|пчёлы live today|гигантский шершень|атака шершня на пчёл|версус|версус шершня и пчёл|шершень против пчёл|пчёлы|улей|улей лайв тудей|пчелы лайв тудей|прозрачный улей эксперимент","481458","31291","559","1785","https://i.ytimg.com/vi/0D0-yLQ9n2s/default.jpg","False","False","Продолжаем любимую серию видосов из жизни пчёл в прозрачном улье. И сегодня я покажу Вам хейтеров пчёл...Моя инста: https://www.instagram.com/vchsl_yepifantsev/Инстаграм енота Хайпа: https://www.instagram.com/enothype/Сотрудничество- fancef@gmail.comПЛЕЙЛИСТЫ видео с ЕНОТОМ ХАЙПОМ:ЖИЗНЬ ЕНОТА ХАЙПА - https://goo.gl/UJjMoeОПЫТЫ и ЭКСПЕРИМЕНТЫ - https://goo.gl/gYzwWTDIY хавка с енотом Хайпом - https://goo.gl/vAs4TQDIY с енотом Хайпом -  https://goo.gl/M1nqyG_______________________________________РЕКЛАМА: https://vk.com/topic-122294560_34183191Группа ВК: https://goo.gl/rXWfGcВебмани: R068771930064Всем привет! Вы на канале Live TodayЖиви сегодня девиз всех енотов и енот Хайп не исключение.Подписывайся и не пропусти, впереди много интересного...P.S. Жизнь любого занята завтрашним днем. Люди не живут, а собираются жить. Делай всё между вчера и завтра: Живи Сегодня (Live Today)"
"Qmd1vV_AO4k","Разнесли единороссов, Путин топает ножкой, Дудь — исчадие ада","2019-09-12T18:28:19.000Z","UCgxTPTFbIbCWfTR9I2-5SeQ","Навальный LIVE","25","19.13.09","навальный|соболь|фбк|коррупция|политика|оппозиция|россия|навальный live|навальный лайф|новости|навальный лайв|navalny|yfdfkmysq|navalny live|navalny life|навальный о|россия будущего|россия будущего с навальным|россия будущего навальный|алексей навальный|обыски навальный|штабы навального обыск|обыски|обыск|дудь|дудь речь|юрий дудь|вдудь|выборы|мосгодума","687863","69403","2800","10146","https://i.ytimg.com/vi/Qmd1vV_AO4k/default.jpg","False","False","Навальный о победах проекта «Умное голосование», обысках в штабах по всей стране, сезоне охоты на «врагов России», восстании в Бурятии и о том, как Юрий Дудь открыл врата ада. Поддержать нас можно тут: https://shtab.navalny.com/#donateПодписывайтесь на «Навальный LIVE» в соцсетях:Твиттер: https://twitter.com/navalnyliveИнстаграм: https://www.instagram.com/navalny.liveВК: https://vk.com/navalny_liveФейсбук: https://www.facebook.com/navalnyliveТелеграм: https://navalny.live/tБлог Алексея Навального: https://navalny.comВидеоблог Алексея Навального: https://www.youtube.com/алексейнавальныйТвиттер Алексея Навального: https://twitter.com/navalny Инстаграм Алексея Навального: http://instagram.com/navalnyТелеграм-канал Алексея Навального:  https://teleg.run/navalny"
"LUDFKDhYEu8","ПУТИН ПУБЛИЧНО УНИЗИЛ ХАБИБА и ТАЙНА ИЗБИТОГО НАБЛЮДАТЕЛЯ НА ВЫБОРАХ","2019-09-13T10:13:47.000Z","UCDbsY8C1eQJ5t6KBv9ds-ag","kamikadzedead","15","19.13.09","путин|хабиб|дагестан|выборы|петербург|ударил|крымский мост|поборы","267584","33265","1578","7000","https://i.ytimg.com/vi/LUDFKDhYEu8/default.jpg","False","False","Качай Raid: Shadow Legends бесплатно ✅ IOS: https://clik.cc/R9bGH  ✅ ANDROID: https://clik.cc/A1V5C и получи 💰50,000 серебряных монет и Эпического Чемпиона 💥на 7-ой день программы для новых игроковДвухэтапная аутентификация для защиты Вашего аккаунта https://bit.ly/2JSeWyA Плейлист, чтобы вернуть просмотры https://bit.ly/2xbAVcw"
"LTUqrLVCJsc","ПИЦЦА С ТРЮФЕЛЯМИ и РЫБОЙ?! Славный Обзор. Нужно пропицца...","2019-09-13T11:48:15.000Z","UC5hcH25pD-rgIlQvzErgE7A","oblomoff","24","19.13.09","обзор пиццы|пицца|обзор|доставка пиццы|обзоры доставок|доставка еды|обзорище|обзор еды|друже|oblomoff|обзор доставки|обзор ресторана|лучшая пицца друже|лучшая пицца в питере|куча пицц|про пицца|propizza|pro pizza|пицца с трюфелями|пицца с анчоусами|пицца с каперсами","311007","23553","782","2734","https://i.ytimg.com/vi/LTUqrLVCJsc/default.jpg","False","False","Качай Raid: Shadow Legends бесплатно ✅ IOS: https://clik.cc/kPXAw ✅ ANDROID: https://clik.cc/NfLOM и получи 50,000 серебряных монет и Эпического Чемпиона на 7-ой день программы для новых игроковГруппа Вы чо мне привезли? - https://vk.com/foodfailsГруппа ВК-https://vk.com/atpiskaЧисто рецепты -https://vk.com/club103827516Мой инстаграмчик-https://www.instagram.com/oblomoffood/Обзоры техники-https://www.youtube.com/user/muhanesidelaВидео-бложик-https://www.youtube.com/user/oblomoffstuffНАШ МЕРЧhttps://is.gd/r8QRG7 https://is.gd/rTm688https://is.gd/GXiC2N"
"a1K8uuSSaEc","ИСПОРЧЕННЫЙ УРОК!!! КОМУ ВЛЕТЕЛО?","2019-09-13T02:00:03.000Z","UCdfXOIogbMA7h7iBp--nmYg","DANIEL BOY","22","19.13.09","[none]","358986","9277","1251","0","https://i.ytimg.com/vi/a1K8uuSSaEc/default.jpg","True","False","Мой Лайки:https://mobile.likee.video/k/134612012"
