Property Name,Review Rating,Review Title,ReviewText,Location Of The Reviewer,Date Of Review
Apex London Wall Hotel,5,Ottima qualità prezzo,"Siamo stati a Londra per un week end ed abbiamo alloggiato in questo ottimo Hotel prenotato da amici. | Personale molto gentile e disponibile, camere sufficientemente grandi ma soprattutto pulite e confortevoli con un letto matrimoniale grande e comodo, tv grande, impianto stereo Bose, . | Bagno grande con asciugacapelli, vasca da bagno, doccia, accappatoio, ciabatte, ecc. ma soprattutto pulito! | Ottima posizione sebbene sia nella zona finanziaria e quindi il fine settimana praticamente deserta ma per noi è stato forse un vantaggio per la tranquillità e visto che in pochi minuti si raggiungono zone molto vivaci. | In ogni caso muoversi non è un problema: la metro di Moorgate è a due passi così come la stazione della metro e dei treni Liverpool Street (treno con collegamento diretto all'aeroporto di Stansted). | Nel periodo in cui siamo stati noi stavano ristrutturando e quindi probabilmente oggi sarà ancora meglio, da tornare e da consigliare! | Abbiamo speso per 2 notti senza colazione (evitata visto il costo e le opinioni negative) 257Sterline.","Casale Monferrato, Italy",10/20/2012
Corinthia Hotel London,5,"By far, my best hotel in the world","I had a pleasure of staying in this hotel for 7 nights recently. This hotel was perfect in every way. Communication with the hotel before staying was prompt, and very efficient. Checking in was a breeze. You go through the spectacular lobby with modern glass chandeliers and take the elevator to your room. My room, they gave me an upgrade to junior suite, was spectacular. We had a walk-in closet of the size where you could have put a small bed in there; it served us nicely for the seven day stay. The decor was very refined, and oh the bathroom! Carrera marble floor was heated throughout, rain shower was to die for! | Location, as it turned out, was as good as it can be. We were 5 minutes walk to Trafalgar Square, but it was very quiet. Right outside was Embankment tube stop. We would walk to theater area and to numerous restaurants, and many major sites, such as London Eye or Westminster Abbey were within walking distance. | We had buffet breakfast or room service every morning. It was pricy, but my rate included it. Couple of nights, we had glass of wine sitting in front of fire place in the lobby. I used the spa, which is included in the room rate, almost every night. After a windchill day of sightseeing, the steam sauna and jacuzzi would soften my weary muscles. | I have stayed in many 5 star hotels around the world, but this hotel tops it. I would return here in a heartbeat next time I am in London.","Savannah, Georgia",3/23/2016
The Savoy,5,First visit to the American Bar at the Savoy,"A very lovely first visit to this iconic hotel bar! | Wonderful service, without being intrusive at all! Very delicious cocktails and just generally all round, a very indulgent experience. | Well worth visiting only for that 'once in a lifetime' experience, though do make sure you are feeling 'flush' it doesn't come cheap!",London,7/30/2013
Rhodes Hotel,4,Nice stay,"3 of us stayed at the Rhodes Hotel for 4 nights, its a great location for taking the Paddington Express from Heathrow. We like the location clost to the partk and in walking distance of most locations. The room and bath were small compared to American Hotels but very clean. We enjoyed the free WIFI. The owners and the staff were very friendly and helpful with taxi's and resturant recomendations. We would stay there again.","Maui, Hawaii",6/2/2012
The Savoy,5,Perfection,Form the moment we arrived until we left we experienced absolute perfection in service excellance by every member of The Savoy staff. Famous for its personalise service and rich heritage the Savoy is truly won of the best hotels in the world to stay at. For eating and dining woud highly recommend Kaspers restaurant. For ourselves we cannot wait until we return.,"London, United Kingdom",11/24/2017
Corinthia Hotel London,1,Staff stole from me!!,"Well I am no strange to London's 5star hotels and when a new one comes along I am eager to try. So I heard about the corinthia via some friends who work in the industry and said their bar was really something. Until the incident I had stay there a total of 3 times but on the 4th time in June I was on my second of 4 nights and was about get some cash from my room as I was going to exchange money for some dollars as I was flying to the US pretty soon. When I came to my money it felt light. When I counted it, it was almost £1000 down. Obviously shocked I contacted reception. They started an investigation! | Well a couple of days later I had to checkout and the matter was not resolved. I was made to pay my bill in full. | Upon my return to London I met up with a manager at the hotel Jean Louis. He said the matter was still under investigation and he gave me his card to get in touch. Nothing was ever resolved. | This hotel does not only boast to be one of the best hotels in London but one of the best in the world. You pay premium for this reason and you expect a premium service. This hotel epically failed me and dented my confidence in the hotel industry. I didn't even get a formal apology. | It's a lovely hotel but I would have to say stay at your own risk but for over £500 a night should there be any risk?",NA,3/1/2013
Apex London Wall Hotel,5,Great customer service and comfy bed,"The hotel staff were very helpful, I booked the wrong hotel by mistake and they changed it without any hassle. The staff were great. Greeted with a glass of prosecco and a lovely comfortable room. Bed was very comfortable. Would definitely stay there again.","Lostwithiel, United Kingdom",10/22/2017
Mondrian London at Sea Containers,5,"Yes, it's really good!","Already stepping out of the taxi you get that very special feeling of welcome. A friendly smile, a helping hand and yet with lot's of attitude. Who ever organises this, its very well done. | At the front desk it's, as almost everywhere, very complicated and slow to check-in. All has been done already when reserving the room. How difficult can it be to swipe the card and get the key card? | But that's is quickly forgotten when using the room, the Bar and the Restaurant. Everything is smart and comfy and nicely designed. And the service is excellent. Well done.",Stockholm,12/16/2014
Mondrian London at Sea Containers,5,Incredible,What an incredibly cool place. Had the most delicious and interesting cocktails at Dandelion (bar) followed by an incredible meal at Sea Containers (restaurant). The staff were so friendly and the service was exceptional. Rumpus Room (top floor bar) is the perfect place for a night cap - very cool and with a great atmosphere. I could not recommend Mondrian more!,"London, England, United Kingdom",3/5/2016
Rhodes Hotel,5,Ottima scelta!,"Ottimo rapporto qualità - prezzo, ottima la posizione, a due passi dal centro e ben servita di metro e bus.Letti comodi e stanza sempre pulita..Ho provato solo la colazione Italiana e non quella Inglese, ma come posso dimenticarmi di quei cornetti con dentro spalmata la nutella!!..Ho detto tutto!Ottima anche la cortesia e la disponibilità di tutti i dipendenti.",Cagliari,2/7/2011
The Savoy,5,Best in Town,"The Savoy is The Savoy, every time I came back the real surprise is that all it's the same, same top services, same astonishing place, same awesome rooms. | I have been in the city for work several time and try many different places, same level, and every time I came back here I ask myself why to chose another one! | Living here is like a travel back in time, when gentlemen was gentlemen, and London was the heart | of the world.","Milan, Italy",5/18/2017
"Mandarin Oriental Hyde Park, London",4,"Good hotel, but needs touch-up and improved layout of entrance floor","The location next to the park and close to Harvey Nic and Harrods means that you not only have great shopping nearby, but also great restaurants. Mandarin Oriental is on of the best hotel groups, perhaps even the best, but their London property needs some TLC. I got great service, a nice upgrade (large room), but it was too used to feel like a real MO. Its like getting the old BA first class vs. the new; its good, but dated. And you know they can do better. The bar was nicer before the redid it some time ago, and its more drunk biz-pople than a mixed crowd there. Dinner by Heston was closed due to flew issues?? for a week, and Baloud in the basement is not very cozy or elegant. Comparing London to the still great NYC property, or the fantastic Bangkok property, its not worthy of the MO-brand. But its still a good hotel, make no mistake. Call in the designers and redo the reception, bar and first floor area with some seating, touch-up the rooms, and the impression will be so much better!","Oslo, Norway",2/17/2014
